,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,G_LDNA0fuHyiw79sRm3kaQ,Edward W.,3.0 star rating,"No cover. Massive place. Dance floor downstairs didn't have a DJ. Playlist on autoplay or maybe music from upstairs being channeled down. Dance floor upstairs more exclusive and had crowd control. Became more ratchet at night especially with broken bottles everywhere on the floor. Music upstairs was very meh. The interior is beautifully decorated, but doesn't quite fit the bar/club vibe.",The Park,3.0 star rating,$$,"American, (New),, Venues, &, Event, Spaces,, Cocktail, Bars"
1,BYr5eSiGayRbmqf7zReZJQ,Mitchell B.,5.0 star rating,"Fellas..Tell your lady ""look babe. you been working hard all week. You deserve a nice night out. Get dressed casual and wear some comfortable shoes. Your mans about to romance you""Do yourself the favor and call ahead of time to reserve a table in ""The Garden"". The server will know what that is. This restaurant is split up into two parts.. A modern eating area with a small bar near the entrance. If you're smart and grabbed seats in The Garden, you'll be escorted through this first half of the location and walk into a larger portion of the venue with living trees and actual greenery. Dim lights set the tone for the night as you'll date will enjoy the setup you invited them into. Copped a steak and sautéed brussel sprouts. Something light for us to nibble on as we ventured into a night of good drinks throughout Chelsea. Heads up.. Service isn't full of sunshine and unicorns but that's not that personally doesn't effect my rate.",The Park,3.0 star rating,$$,"American, (New),, Venues, &, Event, Spaces,, Cocktail, Bars"
2,Wc3FyCGj_y8fby4Y6-0h2w,Christopher B.,2.0 star rating,"Visited here with friends and ate in the garden--a beautiful area with lovely evening ambience. When we arrived (granted, a slow Sunday night), we weren't greeted for several minutes. There was no one at the front of house.We had fried calamari, which was decent, followed by entrees, which were all fine. Nothing is as spectacular as the setting, Including the dessert (chocolate mousse, crisp, carrot cake), which was brought without utensils (and who doesn't love trying to get someone's attention for spoons while dessert melts in front of them?).While we sat an chatted no one ever brought the bill. Finally, we walked around looking for our server or a manager and could find neither, so we went to the front of house, only to again be met by...no one. We waited there and finally someone arrived. When we told her we wanted to pay she asked for our bill, which we of course didn't even have.Overall, just know you're going for the atmosphere, not the food or the service.",The Park,3.0 star rating,$$,"American, (New),, Venues, &, Event, Spaces,, Cocktail, Bars"
3,e0-mWwx1LJVm9wDWqF_5JQ,Nina C.,5.0 star rating,"This is one of the most beautiful places I've ever been to.  It was a bar at night when I came, but I thought it was just a tiny bar, little did I know there's a million rooms when you keep walking and exploring.  I cant wait to come here to eat, just to experience it.You have a dress code, and I'm not sure if that applies during the day as well.  But at night, the hilarious security guard told everyone in the long line to listen up because theyre gonna be disappointed when they get up to the front and can't get in.  The men have to wear a button down and shoes ""like he wears out on a date"" (as the security guard said) and no sneakers.  I swear the entire line walked away.  It was hilarious.Anyway, either way.... 5 stars.  I can't wait to go back.",The Park,3.0 star rating,$$,"American, (New),, Venues, &, Event, Spaces,, Cocktail, Bars"
4,r3gmJCUWZgKffgcK0jZHbQ,Herbie H.,4.0 star rating,"​Brunch at the Park a few weeks ago was cozy & delightful. The space itself is beautiful - bright and gets great natural light. Even though it was freezing outside, slushy, and grey, the setting was cozy and a great place to eat brunch before heading to the High Line and the Whitney.I ordered the Eggs Sunny Side up with Polenta and Pancetta. It was a huge plate, full of creamy and savory polenta, topped with two pieces of crunchy pancetta and two beautiful eggs. Overall, the dish was somewhat one-note, but still super tasty and a great option for a freezing morning.Service was friendly and welcoming. The house-made bread/butter service was a great touch too!",The Park,3.0 star rating,$$,"American, (New),, Venues, &, Event, Spaces,, Cocktail, Bars"
5,Zpvxw9gxEz5a4SDQPaH2SA,Johnny G.,3.0 star rating,The decor and atmosphere is unlike any place I have seen in NYC. Really stunning. The service was excellent as well. Food was bought out really quick. The food was nothing special. I will say the sangria pitcher is a great deal it served about 8-9 glasses for 32 dollars.,The Park,3.0 star rating,$$,"American, (New),, Venues, &, Event, Spaces,, Cocktail, Bars"
6,CZybbw4p4GB0ZI-CdL3IPA,Hannah V.,4.0 star rating,"We were here to celebrate my best friend's birthday. Love the different areas. There's an outdoor-type area, there's a dance floor and the dining area. There's also the roof top where we spent half of our time, it opened a bit later so we spent some time dancing one the first floor initially.The staff were nice. Big props to Tighe (such a cool spelling), he was very attentive and very nice, and you can tell he works hard to get to everyone. We kept our birthday girl with a constant drink in her hand! Would come back again definitely!",The Park,3.0 star rating,$$,"American, (New),, Venues, &, Event, Spaces,, Cocktail, Bars"
7,s2-HAySsdFSFMPbrrrEWVg,Adriana S.,5.0 star rating,"Great ambiance! Good drinks, pizza was ok. We mostly loved sitting outside. Service was limited, no service for outdoor seating.",The Park,3.0 star rating,$$,"American, (New),, Venues, &, Event, Spaces,, Cocktail, Bars"
8,fyEND1XFQ17a9FmQaiSkqw,Iana D.,5.0 star rating,"I just want to rave about how beautiful this place is. It's right by the high line, at such a great location, and the inside is full of lights and is just so pretty. I had a friend recommend this place to me for my birthday and I'm so glad I had picked it. They don't do same day reservations, but for a Saturday night, the wait wasn't bad at all. They anticipated a longer wait than we actually waited for. There is a ton of seating inside and the restaurant turns into a bar after a certain time (I believe some time around 10 p.m.) There's a bar and indoor & outdoor seating. I ordered the steak frites and it was delicious, but I also tasted the salmon & the kobe burger and both were sooo good. I definitely recommend the kobe burger the most. The cocktails are priced at $13. The service was great, they refilled our water at times, and when our waitress was getting off her shift, she introduced who was replacing her. The bill came up to a little less than $200 for 6 people. They're also constantly cleaning their bathrooms, which is a plus for such a big restaurant. I would definitely come back here for a date, a group dinner, or really find any reason to come back.",The Park,3.0 star rating,$$,"American, (New),, Venues, &, Event, Spaces,, Cocktail, Bars"
9,ZWDOkBkeo9-v6xZNQ7WcxQ,Liz K.,3.0 star rating,"The garden seating area at The Park feels straight out of a movie. This ambiance is why you come here-- the food is standard, the service is average, and the prices are a few dollars too high for what you get. Beers are $9, a glass of wine is $10-14, appetizers are around $15. But the garden is truly a lovely place to enjoy a meal. It's fully covered and heated, but sections of the streetfacing wall open to the outside to let in a nice breeze and keep it feeling like a garden patio rather than an atrium. The bar service was honestly awful. It took ages to get anyone's attention, the bartender wasn't particularly friendly, and one of our cocktails was made incorrectly. When I pointed it out to the bartender, he insisted I was wrong while adding the missing ingredient. He eventually realized his mistake and apologized, but didn't comp the drink or make a fresh one (correctly). There are a decent number of vegetarian options, though nearly all have cheese so don't bring your vegan friends unless they're okay with cobbling together an appetizers and side dishes.",The Park,3.0 star rating,$$,"American, (New),, Venues, &, Event, Spaces,, Cocktail, Bars"
