,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
12,0PLUwgLZr-8DCzW_vMsxhQ,Vivian Y.,2.0 star rating,Was not impressed. The first impression I got was this place is pretentious. I get that it's 'fine dining' Japanese but I don't see why patrons need to feel like they are intruding on the hosts when they arrive. The food was mediocre at best and way too pricey for how little food you get.Perhaps if i tried the omakase I would have a different opinion but I just think there are way more amazing restaurants worth trying than to return here.,EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
13,6ffeQ6vow00ocezcnd4jCQ,Jackie L.,5.0 star rating,"OVERALL GOOD: It's my second time at the restaurant and both times I really enjoyed the food, service and very importantly, the good atmosphere. Highly recommend for those who are okay with paying a bit more for a great dinning experience!ENVIRONMENT: the light is kind of dim inside which creates a bar-like atmosphere that's good for casual hangouts and date nights. Inside is very spacious and quiet enough. Service is great - waiters may be a little too attentive. They take the dishes as soon as I finish the food which makes me feel a little rushed. FOOD: So far everything I tried here are tasty. I highly recommend the Simon clay pot which is only available during dinner time. I tried the freshly scooped tofu and the grilled chicken, loved both! I also got the en house ice cream (black sesame, Fuji apple sorbet, green tea), it was the highlight. I also like the food because the food feels so healthy.",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
14,4H2noqgJGnyFYsihZGw_Jg,Kit C.,5.0 star rating,"Party of eight in a private room. Sashimi was amazingly fresh. Delicious Saikyo Miso Black Cod.Grilled Wagyu beef melt in the month! Desserts samplers was a perfect ending. Service was impressive, waitstaffs very attentive even with the door being closed for the private room.",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
15,K23R9u_TNqbepwybiwOAEQ,Maggie L.,5.0 star rating,"Amazing place. My friend took me here and it turned out to be an awesome experience of Japanese cuisine. Definitely a must go place if you wanna experience the beautiful of Japanese gourmet. Their service is great just like a proper Japanese service it would be. Their food is quite fresh and successfully keep the original flavor of it. For example they successfully preserve the flavor of soya and tofu which is simple, yummy and you can still taste the real soy bean. They have amazing tofu menu I think it's a must try every visit. Fish and Uni are yummy as well cooked properly. Their snow crab sushi roll can be a bit plain and the uni tofu portion is a bit small. A bit pricy but I guess if you wanna try the real delicate Japanese food this is how much you should pay for.",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
16,v7C6Kz3eZW0I_V7JzbDk5g,Brad M.,4.0 star rating,"This was my third time dining at EN over the last 7 or 8 years. Their prices for the kaiseki menus have gone up about $20 each since my last visit.My wife and I both ordered from the kaiseki menus. She had the $80 Soyo Kaze with the $45 sake paring and I had the $120 Aozora with the $70 sake paring.I enjoyed all of the seven courses but the biggest disappointment was the eel rice pot. While the presentation was amazing, the actual rice and eel was bland.Be prepared to spend at EN. All together dinner came to $400 with tax and tip for two people. And I felt like the Aozora had a lot of gelatinous dishes for the money. I wish I had more sashimi since that was one of the highlights. Also, I had never eaten ""edible gold"" before, which came on one of the desserts (spoiler: it doesn't really have a taste).All together good service, ambiance, and food for special occasions.",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
17,iVbXDTLBHWxEgFsFU24DiQ,Julie Ying X.,5.0 star rating,"This is my favorite Japanese restaurant in NYC so I've been here many times.  Finally took my SO here for his birthday and it didn't disappoint.  We sat at the bar area (my favorite place to sit) where you can watch the chefs cook since there's a very open kitchen.  It's the best seat since there's bright lighting and you can watch all the dishes being prepared.  We ordered the fresh homemade tofu (warm), big eye tuna and avocado salad, the black miso cod, and the salmon with salmon roe clay pot rice.  The clay pot rice takes 40 minutes to prepare so you should order that first.  My favorite dishes were the salmon clay pot rice and the cod.  The server distributed the salmon rice to everyone and then you add salmon roe and shiso to your liking.  The rice was hot and the crispy bits were my favorite part.  The black miso cod was buttery and totally melts in your mouth.  The crispy cod skin was the best part.  Service was great as usual - the servers and waiter were fast and very attentive to every detail.  Since it was someone's birthday, they put a candle and a sign with dessert.  If you have a group, book a tatami room in the back, really nice private area for a large group.  I'll definitely be back sometime soon.",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
18,fiE1q672g8Olk1TRujhm1g,Win C.,4.0 star rating,"Came here for Dad's Birthday dinner. Let me start by saying this...the meal was not cheap for a party of 6. We didn't ordered off the pre-fix menu and our bill came out to about $800. Overall, it was a lovely experience and more like 3.5 star, but the décor was beautiful and the service was superb, therefore I upgraded them to 4 stars! Plenty of parking if you come after 8pm. We were a fan of some of the food but not all.Favorites:- My favorite dish of the night was definitely the toro salmon $7/piece. The fish literally melted in my mouth and was probably the most silky fish I have ever eaten in my life. - Wagu beef. Delicious but definitely not worth $250 per dish (Market Price). - Japanese oysters - amazing and sweet. -Miso Cod was spot on and very fresh and blasting with flavors- Fried Chicken Very Crispy and tender- Salmon in the clay pot - takes 40 minutes to cook but very worth the wait. - Garlic Rice - Yumm!Medicore--The freshly scoop tofu was ehhh at $11. Although very smooth, I preferred a pint in Chinatown for $1/pint- My sister ordered the cold side veggies and I didn't think it was anything special.-Truffle mousse and Truffle steamed eggs were just ok. Nothing to write home to. And at $26-28/ dish...probably not worth it. - Organic Chicken on the hot stone was not great. The stone overcooked the chicken if you leave it on for a long time. So eat it quick or it'll get stuck on the stone. -There was this salad dish that I wasn't too big of a fan of. It had pieces of flounder and veggies and shishito peppers...definitely pass on it.",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
19,kGxsSAqUtu299nsZ97V5RQ,Jess L.,4.0 star rating,"I came here with two girlfriends for a Sunday lunch, and the space was pretty empty. However, this let us really take in the beauty of the space. The wooden walls and tall ceilings are really breath taking.It was definitely tough to choose what to eat, but the sashimi lunch was unlike any you've ever had before. The fish was top quality, and the sides were delicious and refreshing. I'd also recommend getting the fresh tofu side, which is great to share and the most decadent tofu I've ever had.The cocktails were big hits and were great for the spring season. Definitely a lovely place for a beautiful Japanese meal.",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
20,PY-XIZ9KX4xZ0WFT6RaFLg,Jessica D.,4.0 star rating,"Came here for a date and overall had a great time and experience. Everything was so cutesy, creative, and unique, from the interior design to the dishes. The service was impeccable and friendly. Fried Oyster- 5/5 This was delicious! They cut it up 1 oyster into 4 pieces so it was easy to eat. Topping and sauce was delicious. Freshly Made Scooped Tofu ($11)-3.5/5 Fresh made tofu, definitely something I haven't tried, albeit I'm not a huge fan of tofu. They have an option of warm or cold, and we went with the warm one and added the wari-joyu and it tasted pretty good. I suggest adding more of this because it really enhances the flavor. Saikyo Miso Black Cod ($26)- 3.5/5 Two big portions of black cod, nicely cooked. However, it tasted just as good as any other Japanese restaurant I've been to. Mushroom and Crab Clay Pot ($40) 3.5/5 Comes out in a big clay pot, and rice is well seasoned with mushroom and snow crab. Overall quite tasty and portions are good enough for 2-3 people. Chu Toro Spicy okaka ($21)- 4.5/5 Yummy tuna sushi roll, although it seems and looks very basic. It had this crispyness to it, which was delicious. We ordered 2 rolls of this, and I still couldn't get enough. Raw Tuna & Avocado Salad ($22)- 3/5 The tuna to this had a quite strong fishy smell/taste to it, but it was bareable.En House Ice Cream ($10)- We got earl grey tea, fig, and fuji apple sorbet. The fuji apple sorbet was amazing, and the fig was unique.",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
21,3OL1nZ8E8RtKvOPquMAyJw,Gab G.,5.0 star rating,"Gorgeous restaurant, delicious food, easy enough to get a reservation on a Saturday night. My boyfriend and I shared:+ edamame+ trio of o-banzai dishes (we had the Japanese pumpkin, shishito peppers and chicken breast)+ salmon clay rice pot+ saikyo miso black cod + freshly made scooped tofuThe only thing I wasn't crazy about was the salmon pot, which I found overcooked. Everything else was super tasty and the dishes came out quickly. Definitely would return to try the sushi and have that cod again - I didn't know fish could taste like that.",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
22,v4Ma7ciXTuIWkGibWeTNyQ,Kevin T.,5.0 star rating,"I seriously love this place - one of my favorite Japanese restaurants in NYC. It's perfect for the occasional date - beautiful interior and lighting, fantastic Japanese food, but a relaxed and comfortable atmosphere. EN is an izakaya style restaurant after all, so you get that homey, rustic/traditional feeling. We were seated at the center counter that wraps around this beautifully lit tree and fountain, which gave this place a calming, nature-like ambience.We both had the soyo kaze kaiseki, or multi-course meal. I think the Saikyo Miso Marinated Grilled Black Cod and the Freshly Scooped Tofu were real standouts. The cod was mouth-wateringly buttery, and fresh tofu was a delight. We also loved the Stone Grilled Organic Chicken, which came on this classy looking stone slab. Every dish was beautifully presented - even the coffee I ordered.The Mochi Doughnuts with Ice Cream for dessert were AWESOME. They came fresh from the fryer and were so hot and steaming in the center. Combining the hot mochi with cold ice cream was just pure bliss.Great service, homey, naturey atmosphere, and well-crafted dishes. I think this place is some of the best Japanese fine dining NYC has to offer.",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
23,TDUK7j_XHX1GdNYps8aNNw,Wahed K.,3.0 star rating,"We came here because my bro in law was craving black cod w/ miso and the my go-to spot for this dish (Aburiya Kinnosuke) didn't have any availability.I found the flavor of miso cod a little on the bland side and it seemed to me portion size of this dish was too small, even factoring in a) Japanese portion sizes and b) the dish isn't typically a large dish.  We tried a variety of things and for Kyoto style food, this was pretty average. The couple of dishes I liked were the agedashi tofu and the shoyu braised pork belly with lotus roots (under the obanzai section).Overall, we enjoyed our time here.  The space is nice with high ceilings and since we had a 2 year old with us, it was nice not to be cramped.  The service was decent.  Probably will not return though.",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
24,nDihsCt5kyZenosP9Ldl2A,Catherine C.,5.0 star rating,"Got the vegan kaiseki (Nohara) and loved it!The kaiseki is incredibly filling-I was dying by the end of mine vegan one, and two of the three others in my party that got the other two gave up  trying to eat theirs toward the end, lol. The meal is also incredibly long, so make sure you have 4-5 hours to spare for dinner!The dishes worth noting from this kaiseki are the zensai (starter), smoked shira ae salad-smoked tofu sauce is AMAZING, and 15 grain rice pot with the mushroom. Everything else was pretty good,but not exceptional. I sampled some of the dishes from the other two kaisekis-the grilled black cod is really good, but the lobster and scallop from the other one isn't, especially if you like traditional Asian seafood, and not the citrus-y bullshit on your lobster. I got the hot ginger drink with my meal and loved it, but hot tea would also have been nice.The two older people in our party wanted to share a kaiseki because old people don't have much of an appetite, but unsurprisingly, the restaurant does not allow that--preserving the integrity of the dish/chef's artistry, or profit incentive? Probably the same thing haha. Would still love to be back for the smoked tofu and mushroom rice pot. A great alternative to other, raw fish Japanese options out there.",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
25,AVsdOKiD8kFUYyjbaRazXQ,Cynthia D.,4.0 star rating,"Wagyu Steak was totally awesome here!!!This place is fancy and pricey but totally worth the splurge! My party of five came here to celebrate a birthday. We ordered a bunch of plates to share: Kumamoto Oysters with Ponzu Sauce, Toro Sushi Roll, Watercress Pork Salad, Salmon Rice Pot, Miso Cod, and the Wagyu Steak. Everything was really good and we were all very happy with our selection. What stood out to me was, of course, the Wagyu Steak! The meat just just melts in your mouth. It was so tender and really good! We got the bigger portion and it did not disappoint! Wagyu Steak had a grand entrance! It was thinly cut onto a long plate that was almost as long as our table! Grilled vegetables such as shitake mushrooms, shishito peppers, tomatoes, cauliflower, and green peas came on the side with the wagyu. The meat comes with a dipping sauce and a mix of salt/spice. I prefer the salt. 4.5 Stars to be exact and I definitely would love to come back!!!",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
26,U0j-cna0uJd7xOcL2O7S6A,Davaish S.,5.0 star rating,"Fantastic meal. We were here for a business lunch and the setting is beautiful, ask for the pvt tables and book them ahead of time they are awesome. Service is great and waiters are very knowledgeable about all fish and whiskey, which is key. Seats are comfy and lighting is nice too and usually very different music. We had the sashimi to start and got a variety of fish. The big eye tuna was one of the best i have ever had remind me of the old nobu or secret midtown sushi place in tudor city. I had the miso cod and tofu and brown rice and they were great. Tried the shrimp fritters and the mochi duck which was unique and weird looking but amazing.  The fried rice was bland thou which was a miss. Friends enjoyed the fried chicken, fish bowls and also the warm soba noodles. Overall will def be back!Food-10/10Service 10/10Decor 10/10",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
27,bxnzQ5oanfcuWL7mYhs88w,Lisa L.,5.0 star rating,"Quality Japanese food can get very pricey in NYC, and by no means is ENJP cheap, BUT I thought the taste/portion size/uniqueness of the food perfectly justified the 3 digit bill my 2 girlfriends and I ended up paying. Unlike most Japanese tapas or specialty foods where the portion size can get unreasonably small, the dishes here were all shareable sizes, and I highly recommend that you go with a party of 3+ so that you can try various things on the menu without going bankrupt. Ambiance/interior was fantastic (could be a little too dark for some), but it's got a nice nature-y & city vibe to it.Food ordered:Age Dashi Tofu: Most people's favorite appetizer, and it's definitely mine. The portion size is great, and there's a good amount of mushroom that comes with it, so I highly recommend it! One of the best age tofus I've had. Tofus was both soft and chewy, and the sauce was great. Salmon Kama: It was very well cooked, and I enjoyed it. However, it's not very unique, since you can find nicely cooked salmon at other restaurants. Nonetheless, 'twas delicious. Mochi Croquette: So unique! I haven't seen a dish like this anywhere else, and I loved it! I think it's one of the must haves at ENJP, and the concept of a massive mochi ball with duck inside is quite genius. It's not the easiest to share because it's literally one massive mochi, but it's soft enough to tear with chopsticks and spoon. Also loved the sauce.Salmon Clay Rice Pot: Another yummy salmon dish, but it wasn't my favorite. The whole thing comes in a large clay pot, and the waiter brings it out to mix rice. You get served your own bowl of rice (the waiter does the scooping/dividing part as well), and then you get little bowl full of salmon roe and seaweed. I don't know how they seasoned the rice, but the whole concoction of seasoned rice + salmon + salmon roe + seaweed = pretty heavenly. It's a great dish to share! Chu Toro Spicy Okaka Roll: It was great, but great sushi rolls are easy to find at other places. I don't recommend you get sushi here when there are so many other delicious options that are unique to this restaurant. Dessert: White chocolate Tiramisu: So unique, and so delicious. It's definitely the traditional tiramisu, but I loved that it had such an authentic Japanese twist to it. There wasn't much bread/cookie texture that most tiramisu would have but it was extremely soft. Matcha + white chocolate = a whole new world. It was also very pretty! Mochi Doughnuts: My person favorite dessert of the night! The 3 little mochi doughnuts are made fresh to order so the doughnuts were literally hot when they initially came out. They pair it with vanilla ice cream, and it was pretty clear why they paired the two. SO GOOD.3 Scoops of ice cream: Don't remember the flavors, but they were all pretty fab. Honestly, all ice cream is fab. This is such a hidden (or not so hidden) gem in the Tribeca area. I can't wait to go back and try out everything on the menu. I hear the brunch selection is great! Definitely more affordable than dinner.",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
28,Fgnby69RFDi7ZmPbzKGCtQ,Sophie L.,5.0 star rating,"Get their warm tofu and black cod!! It's their must-haves. Even if some dishes come with tofu, their $11 warm tofu worths the money to have. I would also recommend black cod fish over chirashi. Overall great Japanese food!!",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
29,9Znl0mPcUnnbOrMJuKB2kg,Karmela L.,5.0 star rating,I love it here it's absolutely gorgeous and Zen here.  I got the black cod the staff is friendly I came in by myself I was taking a class next door and I said to myself I don't want to go home hungry I'm walking in! Glad I did no weirdness here there is a table around trees and gorgeous flowers no one knows your alone so you face the beautiful wood sculptures it's really nice and I recommend it highly if your in the neighborhood tons of vegan options plus desserts I just felt like having a healthy protein it hit the spot !,EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
30,PMLWbIqQtuL5P98OEdov6A,Urszula P.,5.0 star rating,"I recently visited for my birthday but I've made regular visits over the years. Sadly, it's not on my path home and it's not something I can spend daily for dinner.I always taste great flavor in the food and experience good service. Consistency is hard to find in any place over years so a BIG applause to you!Food: Age Dadshi Tofu is my favorite and it's amazing if you like mushrooms.Karei Kara Age: very shareable & large.Saikyo Miso Black Cod: it doesn't get better and you want two because it's so GOOD.Garlic shiso fried rice: good and full of garlic.",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
31,OC-qmvrsc4CI03cGpNsJdQ,Rob A.,5.0 star rating,"Prepare yourself for a serious meal. Firstly, this is not a sushi joint. This is a legitimate Japanese restaurant: the real McCoy. Very sophisticated (and expensive). Open kitchen-the kitchen staff greets each table with a loud cheer as they enter the dining room. Excellent, unique cocktails. Home-made tofu (hot and cold). They make 3 batches daily so you know you're getting fresh goods. We had quite a large meal, so I won't go into every dish (will let the pictures do the talking) however, you need to try the toro as well as the Wagyu. Chocolate trio for dessert. Incredible restaurant",EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
32,0PLUwgLZr-8DCzW_vMsxhQ,Vivian Y.,2.0 star rating,Was not impressed. The first impression I got was this place is pretentious. I get that it's 'fine dining' Japanese but I don't see why patrons need to feel like they are intruding on the hosts when they arrive. The food was mediocre at best and way too pricey for how little food you get.Perhaps if i tried the omakase I would have a different opinion but I just think there are way more amazing restaurants worth trying than to return here.,EN Japanese Brasserie,4.0 star rating,$$$,"Japanese,, Diners,, Bars"
