,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,yQWWYd_oBJ8pTCLPM4qjgg,M. M.,5.0 star rating,"Perfection!  We ordered an assortment (fruit, Nutella, pecans and ice cream) and everybody loved all that we ordered. We purchased ours at the location at the Bryant Park Christmas market and sad and ate them while people watching. Such a treat!Cant wait to head back in to the city to load up again!",Wafels & Dinges,4.5 star rating,$,"Belgian,, Waffles,, Food, Trucks"
1,TP4d4u3T_pvb9b60LYeBLg,Marisa J.,3.0 star rating,"Very tasty!!  I would've preferred a fresh eagle instead of a reheated one though .  Also, I was a bit disappointed with the service. I ordered the De Double Trouble, which had a description of whipped cream, strawberries, Nutella and cookie crumbles.  However, what I got had bananas in it ‍.  They also needed more people working.  Times Square is such a busy area and there was only one person doing everything.",Wafels & Dinges,4.5 star rating,$,"Belgian,, Waffles,, Food, Trucks"
2,nr0orulyYg1nMtxOjRXqow,Katie L.,4.0 star rating,"The smells coming out of any one of their locations is insane! Their toppings do not withstand the heat from the wafel very well though. One minute my De Churro was the thing of perfection, and the next the whipped cream was sliding to the left and the dulce de leche melted all over the wafel, making a mess. An ugly delicious mess.Their Spekuloos spread (sold in jars) tastes something like gingersnap caramel sugar cookies. Yes it's insane. I've had it on toast, over ice cream, mixed into hot cocoa, all over my blouse, etc. It's best on one of W&D's crispy wafels, but will have to tide me over until the next visit. Now, about that dry cleaning bill.",Wafels & Dinges,4.5 star rating,$,"Belgian,, Waffles,, Food, Trucks"
3,wWtrqqA3MlSWSvqDiJJOKQ,Yaran S.,3.0 star rating,"My first liege waffle is from the Wafels&Binges truck locates nearby the natural history museum. I got it with the famed speculoos spread. Waffle itself was chewy and sweet. I didn't find the spread any special though. I'd rather choose p&b or Nutella. The combination of two was way too sweet for my taste , even though I have a sweet tooth. I got a black coffee from a cafe right away after finishing the waffle.",Wafels & Dinges,4.5 star rating,$,"Belgian,, Waffles,, Food, Trucks"
4,CR1_anugapLnkgYD36q2wQ,Minta P.,5.0 star rating,"I can't think of one negative thing to say about this location. It is in Times Square and has a few tables and chairs in front for you to actually sit down and enjoy your meal while getting in some good people watching. I had one topped with strawberries and cream and we also got one with bacon that was difficult not to steal every bite! The staff was friendly, the wafles delicious, and the coffee hot. With clean surfaces, the perfect location, fast service, and a full belly for under $20, what more could you ask for?",Wafels & Dinges,4.5 star rating,$,"Belgian,, Waffles,, Food, Trucks"
5,XIVhlE211QvcDkoZtmZ1uw,Fox E.,5.0 star rating,"If this place were named after my reviews, they'd have to change it to ""Waffling & D**k-jokes."" I may be prone to verbal diatribe and childish humour (if you can call it humour), but at least I'm self-aware. Then again, they said Leopold of Belgium was self-aware, and that didn't help him much. Speaking of which, we did an online poll of ""sexiest somewhat feminine actors"" and Leo-polled highest. DiCaprio that is. So on with the review.What to get: Liege Waffle with Spekuloos.What the f*** is Spekuloos: It's when you can't find your glasses. Duh.And what else: Well, the Spekuloos Ice Cream is pretty amazing too.What's the difference between a Liege Waffle and the other kind?: Well, the other kind are good, but this one is in a Liege of its own.But this is in America, not Belgium: I know. And much like 'Murca, if you don't like it, then why don't you liege.If this place were frequented by ducks rather than humans, and was also really dirty inside, then it'd be called ""Waddles & Dingy."" Whereas if I had a bright idea (lightbulb switches on above my head, cartoon style) about time travelling, then it'd be ""Wormholes & Ding!""I won't go on and on about these waffles. I'll just tell you straight away: these are by far the best waffles I've ever had in the United States. I'm not a huge waffle fan, but when I go to Belgium, I fall in love with the taste of the dense, sticky, orgasmic Liege Waffles, perfected at Maison Dandoy in Brussels. Well these may not be on the MD level, but these are the closest thing you will ever find in North America, that's for sure. They taste a lot more Belgian than they do American, and that is a very, very good thing.People ask why I'm so attracted to Borat. I think it was his ""Onesies & Dimples."" It must be that because it ain't his face. He's a tip drill.Adding the Spekuloos just takes it through the roof. It's a Gingerbread Spread (think Nutella, but even more addictive), which comes - of course - from Belgium. Also known as Belgique (French) or Belgie (Flemish). Flemish is basically like Dutch, but a Belgian version of it. The country is split between the two languages. The French speakers are known as Walloons. But history and geography lessons aside, Belgium really does make the best waffles on earth, and these Liege Wafles with Spekuloos really are the closest thing to the real thing you can get over here.If you're in a ""linen cleaning contest"" make sure you get the linens *absolutely* clean. Because if there's a tiny bit of dirt, even a little speck of dust, you lose. This concept is known as ""Speck-u-lose.""Not only am I obsessed with them (and I'm not even a waffle fan), but everyone I've ever taken here, fell in love with them too. They're sticky and gooey and hot and sexy. They're heavenly and divine and delectable and filling too. You can split one with someone since they're heavy, and they're not too expensive either.I'm not sure whether there are any illegal drugs in the Spekuloos. I'd rather not Spekulate.As I said, get the amazing Spekuloos all over them, and be aware that they also have Spekuloos (Gingerbread) Ice Cream here which is absolutely divine as well. They're open extremely late (usually until 11 or Midnight or later, but it seems to vary and they do close a bit before the posted time). They're on a lovely little street corner in a cute part of Manhattan just north of Houston St and not far from Sunny & Annie's 24 Hour Korean Deli (which is amazing too - I just reviewed it).Oh and you know that movie, Star Trek III: The Search For Spock? Well in Belgium, that movie was known as ""Spock-u-lost.""If you come to Manhattan, you simply must make it a point to stop in here and try a Liege Waffle with Spekuloos. It may just be one of the best desserts you will ever consume in America.If I have a whole bunch of girls asking to be spanked, then I'd rather save the best for last, honey. And since you're the best, that means I'm going to ""Spankulast.""Wafles & Dinges. Get here. Be amazed.Although if it were my 2 favourite things to get in back alleys in Chinatown, then it'd be ""Won-Ton & D**k."" Ooh I just turned myself on.",Wafels & Dinges,4.5 star rating,$,"Belgian,, Waffles,, Food, Trucks"
6,cqNhNktTipX0htPLw2hksA,Tracy M.,4.0 star rating,"Yum yum yum yummy yum!! This is my guilty pleasure every time I come to New York.  It's not 5 Stars each time, so I gave it an overall 4, but it's so freaking good! The one at Bryant Park is the best in my opinion as it is it's own building and always is supplied with all the toppings. Try the Spekuloos on pretty much anything and it's delicious. Plus you can buy jars of the stuff to take home and secretly eat in your closet so you don't have to share! The pre-designed concoctions are always a good choice, but you can make your own Wafel with any toppings they have. I have found my happy place with Spekuloos, Nutella, and whipped cream. They have carts all over the city so find the closest one and go get your sugar high on!",Wafels & Dinges,4.5 star rating,$,"Belgian,, Waffles,, Food, Trucks"
7,dXivjh9B9w_qqrohwjSw8A,Sameera B.,5.0 star rating,"Their double trouble waffle with Nutella, banana, strawberry is just heaven!!! It was a little bit on the pricey side but well worth it. I would definitely recommend  it!!",Wafels & Dinges,4.5 star rating,$,"Belgian,, Waffles,, Food, Trucks"
8,BxhsM_vsyGt8sargAvwN4w,Ida D.,4.0 star rating,"After seeing great reviews of this place, I really wanted to give it a try. I was passing by Times Square and there was a booth, so my friend and I got 2 waffles to share:S'mores Waffle + Ice Cream (4/5): the first few bites of this were amazing. I loved all the chocolate sauce drizzled over the waffle and the blend of ice cream with the texture of the waffle. However, after about 3-4 bites, it was just too overwhelmingly sweet. Strawberry walnut waffle (4/5): this is the lighter of the two waffles we got. The sourness of the strawberry did balance out the sweet sauces. However, there was nothing that ""special"" about this waffle. Tastes similar to most other average waffles I've had.The wait was a bit long for us because they forgot out orders until we had to remind them about it. Overall, worth the try but I probably will not be coming back.",Wafels & Dinges,4.5 star rating,$,"Belgian,, Waffles,, Food, Trucks"
9,p6P10r-z9LnKL5zP3BcbWA,Elizabeth K.,5.0 star rating,"Very yummy and nice to look at. If you have a sweet tooth, these waffles are a must! I do not usually gravitate towards sweet foods, however, this was definitely very delicious and I would definitely go again",Wafels & Dinges,4.5 star rating,$,"Belgian,, Waffles,, Food, Trucks"
