,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,wD3Vj-Z7Jtkp-PXNDzh8DQ,Jenny P.,5.0 star rating,"I've considered reaching out to the Yelp engineers to build in a ten star review option just for this restaurant. Five years ago, I went to Morimoto Philadelphia for the first time and fell in love. Fast forward five years and I am living in New York City so of course I HAD to go and visit Morimoto New York. This restaurant is hands down my favorite restaurant (and this is an understatement if possible).All I have to say is we FEASTED this time around at the New York location and I loved every single bite. Items we ordered included:1) Toro Tartare2) Yu-burrata with black truffles3) Crispy rock shrimp tempura - classic must get4) Oyster Foie gras - SO good, we had to order another order, unlike anything I've ever tasted before5) Hot stone A5 Wagyu beef - melt in your mouth deliciousness6) Kakuni (pork belly with 10 hour cooked porridge)7) Miso glazed roasted bone marrow -MUST8) Duck Duck Duck9) Braised Black Cod - needed 5 plates for myself10) Pea Shoots with XO sauce11) Chef's combo assorted sushi platter - also melt in your mouth deliciousness12) Dessert- Fiery Chocolate tart, milk chocolate key lime pie, and tofu cheesecake (all three were recommended by server)I recommend everything at this restaurant!! I plan on going back until I've tried everything on the menu!",Morimoto,4.0 star rating,$$$$,"Japanese,, Sushi, Bars"
1,-HeNMooYCVQuWV8GQ1Zg0g,Jasmine R.,2.0 star rating,"I'm going to sound crazy, but this place is not worth the price. For what I pay for 9 pieces of sushi I can get twice as much for a third of the price WITHOUT sacrificing the quality by going to my regular sushi spot. The ambiance is beautiful and the service is great but the price of food here for someone who's a foodie is over the top for food that is mediocre at best. 45$ for a shot of tequila? 26$ for ramen soup? 13$ for a single scoop of sorbet?! No thank you. I've been three times and third times a charm In the sense that it has solidified that I will not be back. But if you want the experience it is exactly that, I will be keeping my money in places where when I leave I'm full",Morimoto,4.0 star rating,$$$$,"Japanese,, Sushi, Bars"
2,xzMvA6gPvSx6xZlUaD291w,Jacqueline X.,2.0 star rating,"Overall: heavy and salty American-adjusted and overrated Japanese cuisine.My greatest issue with them is the food came really slow. We waited for almost 30mins and all our food came at one time. And they serve cold and hot foods together, which I found really unprofessional in a Japanese restaurant. We spent $200 for the LUNCH. Toro tartar 2.5/5 : I seemed to expect to much about this signature dish... it is a thin layer of mince toro, and the texture of toro is not outstanding (might because they're too minced). The dipping sauces came with the toro are too light. Rock shrimp tempura 2/5 : I though it would be the regular tempura but turned to be very different. It is deep fried shrimps coated with 2 different sauce. Too much sauce and flavors, and why offer ranch dipping sauce it is not bbq wings...Chef's combo sashimi 3/5: the sea snail and salmon in them are great, especially the sea snail( u don't get to see them at every Japanese restaurant) the rest are just ok.Eel&froie gras bop 2/5: rice with bits of eel, froie gras and advocating served on hot stone pot. $27 is too much for such a dish.  I can understand froie gras is expensive so you only have few grams of it, but they were really stingy about the eel and the advocado. The eel sauce is to salty. Black cod with rice: my bf has it and he think it was under expectation.",Morimoto,4.0 star rating,$$$$,"Japanese,, Sushi, Bars"
3,JDOMQaM37MoulGxb1LkMdw,Connie Y.,5.0 star rating,This is our second time coming to Morimotos and it was just as impressive as the first time.  Last time we came with a large group and got the Omakase and this time we ordered off the menu.  The restaurant is beautiful and the wait staff was amazing.  The Red Sake seafood was amazing and all the fish was so fresh.  It's right near Chelsea Market and we will pretty much come here every time we visit New York.  We were big fans of the Japanese version of Iron Chef and everything was fantastic at this restaurant.,Morimoto,4.0 star rating,$$$$,"Japanese,, Sushi, Bars"
4,IDBheh02CKKQXr-3TENINg,Qi G.,2.0 star rating,"I've had a great experience here in the past. The food and service was great the first time I came. However, my Valentine's Day experience was terrible. The service and food was subpar. We were seated next to a ratchet couple who kept using flash photography, they had their camera flashlights on trying to record the food. They also played videos on their phone with the volume on loudspeaker. The food was subpar and was lacking in quality compared to the first time we were here. The dessert I ordered was horrendous. I took one bite of it and grabbed the check. I couldn't leave the door faster.Note: The waitstaff do not clean the table after a party has left. They only lightly brush crumbs away and wipe once. Eating utensils are also placed directly onto the table. Ew.. gross!",Morimoto,4.0 star rating,$$$$,"Japanese,, Sushi, Bars"
5,pCkyF9OhnFhu35dLJ_siCg,Bridgette S.,5.0 star rating,"Oh. my. god. I have a trillion lovely things to say about this place! Absolutely loved my visit here. My boyfriend surprised me to a Valentine's dinner here on Saturday and it was just lovely. When we arrived we were sent to the bar to get a drink as we waited for our table. Ordered a Reisling (drinks here are normal NYC pricey) and waited for about 10-15 minutes and a hostess brought us to our table. We sat at a 2-top and our server was caring and very helpful in ordering. I ordered the kakuni for the appetizer and WOW the flavours were incredible and honestly rather filling for its small size! Super delish & recommend for sure. I also ordered a spicy tuna roll and it was delicious :)My boyfriend got the beef sukiyaki and it was very yummy, I helped him it, it was quite large! Had such a great evening and will certainly come back! Starr Restaurants don't disappoint",Morimoto,4.0 star rating,$$$$,"Japanese,, Sushi, Bars"
6,_IOZUTKMfUOQZJZL_nmPcg,Su L.,4.0 star rating,"Came here with a reservation for a Wednesday lunch during restaurant week. My friend and I were seated immediately and given excellent service. She ordered the short rib, while I had the sushi combo. This was from a restaurant week special menu ($29). Our mains were served with green salad and miso soup. Both were delicious. My sushi was very fresh. The desserts that came after were fine. They were presented nicely, but nothing special. The ambience and service here were superb. Will come back another time to try the full menu.",Morimoto,4.0 star rating,$$$$,"Japanese,, Sushi, Bars"
7,GVQyomyVcypzehdynLkFVA,Pooja M.,4.0 star rating,"I've been wanting to try Morimoto for a long time now, and I'm so glad I finally got the chance to for NYC Restaurant Week 2018 Winter Edition. My friend and I both had some issues finding the restaurant as Google Maps shows that it is located inside Chelsea Market; in reality, it is in the same warehouse as Chelsea Market but it has its own entrance. Luckily I called the restaurant and they picked up right away and were able to direct us to the location of the restaurant. I was really impressed by the decor of the restaurant. Part of the decoration includes a lit wall made from clear glass bottles which really gives the restaurant a classy, fine dining look to it. And this is a bit of an odd thing to comment on, but I really liked the chopsticks they gave us? They were clear hard plastic but not too weighty, and once again, they just looked and felt so classy. Our server was very attentive and courteous in explaining everything on the menu and if we needed anything, he was always around to help us without us having to wait too long. For restaurant week, you can order a set which comes with salad, miso soup, and cucumber pickles and finally a dessert. I ordered the sashimi set which came with 10 pieces of chef's selection sushi. Omakase in the city usually costs a pretty penny, but for $29, I was able to get omakase, plus a salad, soup, cucumber pickles, and a dessert - ie not bad!The sashimi set was good, but I don't think the sashimi pieces I received were anything unique or special. I was disappointed to not see salmon in the set (I know I said I was looking for unique sashimi pieces, but come on, salmon is a staple!) I was however, impressed by the dessert I ordered. I ordered the shiro choko, which is a dessert made of white chocolate cream, passion yuzu sorbet, marble meringue and sesame chocolate soil. Not only was it a very pretty dish, it tasted amazing too! It was packed full of flavor and surprisingly, none of the flavors clashed with each other. I also liked the different textures in the dish from the creamy sorbet to the crunch of the sesame chocolate soil. It was a refreshing and light dessert and the perfect way to conclude our service. I had a pleasant experience at Morimoto, and I would definitely like to come back again in the future!",Morimoto,4.0 star rating,$$$$,"Japanese,, Sushi, Bars"
8,5PpGBk3hQduTblcn9tSVIA,Stuart M.,3.0 star rating,"Last year I had a 5 star experience and couldn't wait to return.  This year for restaurant week I ordered the braised black cod.  The cod did not taste fresh, and it was covered in too much ginger soy reduction.  Was this an attempt to mask the cod? I don't know.  One of the sides was miso soup. It arrived luke warm and had to be returned.  Dessert was soba hana, which was good, but the decadent molten lava cake I had last year was not offered.It can sometimes be a rapid descent down the mountain.",Morimoto,4.0 star rating,$$$$,"Japanese,, Sushi, Bars"
9,tACIaXqXL4jAx7gm6yJWuw,Dimitric H.,4.0 star rating,"Great sushi, was it the best I ever had no. But all in all was still great. Went here for restaurant week ended up getting a decent selection of different sushi and sashimi. To my surprise ending up seeing Chef Morimoto himself. The real winner here that most people never mention is that Morimoto is one of the very few restaurants in NYC that carries A5 Japanese Wagyu. That was the best quality of steak I ever had in my life was like butter. If you have a few hundred laying around make sure you get the A5 steak and the sushi is good but not amazing.",Morimoto,4.0 star rating,$$$$,"Japanese,, Sushi, Bars"
