,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
22,g0heGXpkjz7-aoPE9ggD0A,Angela R.,5.0 star rating,"So... This place is so good I've either picked up, asked my boyfriend to get me ice cream and crepes from their establishment, or have their delicious desserts be delivered to my place in the span of 3 nights  At this point I'm going to have to get a gym membership. I would have taken a picture of my desserts but they all seem to disappear as soon as they are in my presence. Believe me, it's good.",Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
23,CGgA6zmvJl-gsr48gR4wEg,Corinne B.,5.0 star rating,I love angels recipe ice cream! This is definitely a hidden gem. There are many flavor options to try that are always there you're around and there have also been really good flavor specials that might change every so often. The toppings are also really good especially the marshmallow that they toast with a flame. It is also really fun to watch them make rolled ice cream fresh in front of you. The unlimited amount of toppings allows you to have your own creation exactly how you wanted it. There is some seating inside and it was right by the path to get some ice cream on the way home or on the way to the pier.,Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
24,12XHIOwaakyxChOA0V-i5w,Kristen W.,5.0 star rating,Custom mixed ice cream that is blended and rolled into rosettes on a cold stone in front of you. My favorite is the city of angels with Oreo in a coffee flavored ice cream. They then add all of the toppings and fudge you wish. So good!,Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
25,oD3HGwuvY6G3P7cALt2dQQ,Dianne V.,4.0 star rating,"This place is new and is located within another restaurant. I've been wanting to try rolled ice cream for a long time so I had high expectations. I had the vanilla ice cream with Nutella and strawberries. It was nice to see it made before my eyes and the liquid turn into ice cream. It was very delicious, just not as ""pretty"" or ""accessorized"" with more toppings as ones you see on instagram. There was a good amount given, and the price wasn't that bad considering I used a 20% cash back from Groupon.I wish there were more flavors and varieties and toppings, but other than that I am happy with them and my purchase. Very tasty.",Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
26,UIRXHctsFanD3gchhmOmWw,Ellain B.,5.0 star rating,"Well, as you can see, this place is not good! Because they're very very good. A must try dessert place. The picture says it all. I wasn't able to dig in so I finished it even before writing this review. My 2nd time in this awesome place and will not be the last. Try their ice cream and crepes!Their menu is so yummy that you can be full and drool by simply looking at it but hey! Why not try it instead of just look! Awesome amazing place! Yummy!",Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
27,zB8TS8sr8zLQ7hSu78Gkjw,Wei V.,5.0 star rating,"LOVE! LOVE! LOVE! It was probably the best ice cream experience that I had so far! Fly me to the moon ice cream was made from fresh! Yes! It was made from an ice cream liquid batter! And the staff mixed in freshly sliced half banana and a strawberry. He mixed the ice cream on a special cooling platform. Eventually, it formed into a thin sheet of ice cream. After rolling, ice cream ""rolls"" were placed in the container with more strawberry slices. You can also choose many free toppings. I was thinking just whipped cream. The lady insisted for me to try the mini meringue cookies and torched marshmallow. Everything turned out perfectly. Ice cream wasn't too sweet but rather light and fluffy.There was no wait time in the shop. Maybe it was a very cold day yesterday. Staff was extremely friendly.",Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
28,NWLqOKl0Vxi7qK-6EoBLbg,Brandon E.,5.0 star rating,"After one visit to Angel's I am fully jumping on the rolled ice cream bandwagon. This stuff is awesome and this place selling it is also pretty great!This makes Cold Stone and Ben and Jerry's in town look like Dairy Queen. The location is a little off it's inside Gogi Grill a new Korean BBQ place. It's a tiny little counter in the back. They have some really great options ranging from traditional to not-so-traditional. I opted for the Dark Angel which was dark chocolate ice cream and raspberries, I added nuts and a reeses cup. The wife got ""Knockin on Heavens Door"". Both of these were absolutely fantastic and watching them make them was probably the coolest part! For $12 for both it was a great value and a ton of ice cream/toppings. Oh, speaking of toppings they have a bunch that are ""free"" with your ice cream. Load it up, but don't let it overwhelm the delicious ice cream.I really wish this wasn't at the other end of town for me, but I will absolutely be back here. The service and ice cream were both fantastic and I look forward to many more calories from here!",Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
29,P2wHle_2WJvDHvP4ycL1nw,Ms C.,5.0 star rating,"This is my favorite rolled ice cream place ever ever ever. I started with one in the city but it became too far so I desperately began searching for one closer to home. The thing about this place is that it is combined with a Korean fusion food place so it a little confusing to find. To clarify, one side of the restaurant is the Korean food and the other is the rolled ice cream station. Place is super cute and modern. A couple of tables to dine in. They have a front patio area with seating as well for the warmer days. The staff is always attentive and friendly. I'm so addicted to the rolled ice cream but I want to try their crepes too!",Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
30,rrtEm09rNvxtOG7Z_optpg,Dexter V.,4.0 star rating,"Located inside a store that it shares with a Korean café, Angel's Recipe Ice Cream takes a spin on the rolled ice cream explosion that is happening everywhere.  I highly suggest stopping by here and ordering up whatever your heart desires.  My first visit saw me ordering the City of Angels.  A concoction of coffee flavor and Oreo ice cream.  The ingredients are splattered on a freezing teppanyaki-style steel surface and eventually rolled into tubular concoctions of pure angelic dessert. Watch as the masters of mixing cut, chop, and spread the ice cream on the circular panel.  Don't forget to top it off with as many, or as little, toppings as you want.  For me I chose an amalgamation of condensed milk, maple syrup, peanut butter dough, waffle pieces, and of course crushed Oreos because...well you kind of need to.",Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
31,cD6_1PCU2BjFBqLU0ryfhw,Carissa M.,5.0 star rating,"Almost hard to find because they share the location with another place, but not impossible. Had to look on Yelp on where to find them. To start: Yes, I was one of those annoying customers who walked in 10-15 min before closing. Despite this fact, the owner was very welcoming. The look on my face while looking at the menu totally gave away that it is my first time coming. The workers were EXTREMELY helpful. Even when they seemed like they were almost done cleaning up, they dropped everything and serviced me. I've never seen ice cream made this way before- from scratch & the whole experience was pretty cool! They took the time to explain the menu and their most popular items. The toppings were free and when I had no idea what to put on top of my green tea ice cream, they suggested honey and mochi. Needless to say- It. Was. Delicious.  The facility looked clean. What a unique end to my Saturday.",Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
32,wQYXCH3KQunMMZ7Nh3RZCQ,Dasle K.,4.0 star rating,"Rolled ice cream in Hoboken? YES. Really GOOD rolled ice cream in Hoboken? You are an angel.For $6 you can get any vanilla, chocolate, or coffee (right now they have specials too - dark chocolate, earl grey, and matcha) plus UNLIMITED toppings. You get a TON of ice cream to make your tummy happy. Such a great deal! Upon much deliberation, I opted for #1: Knocking on Heaven's Door. Vanilla with Nutella + Banana.... with bananas on top!!! You can REALLY taste the banana within the ice cream. It was SO GOOD. Of course I got pocky sticks, roasted almonds, and peanut crumble on top too. In the end, I had banana overload - I think I might opt for oreos next time =PMy coworkers got the Matcha Libre (green tea with red beans) and Mr. Peanuts (vanilla with reeses & peanut butter) and both were yummy. I can't wait to come back to try the other flavors!They are still in their soft opening phase, so I would pay a visit ASAP to take advantage of their $1 coffee special. Highly recommended!",Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
33,N2EnTGHxVue1jXk14wWHlA,Kevin K.,4.0 star rating,"I went here for dessert after dinner on a Saturday night. The place was relatively empty around 9:30pm...one thing to note is that this place is located inside another restaurant, so we were a little confused while trying to find the place.I got the ""Fly Me to the Moon,"" which is composed of strawberry and vanilla, but I had the cheesecake version. I must say, it was a treat to have after dinner. The staff recommended me graham crackers and sugar cone pieces for the toppings, which were a good combo for this particular flavor. Overall, it was good. I would not say it's the best ice cream, but for what I wanted, it definitely hit the spot! It was also cool to see the staff make the ice cream right in front of you.My friends had ""Knocking on Heaven's Door,"" which was also good.I would recommend this place if you are craving ice cream for dessert in Hoboken, but I probably wouldn't be back here anytime soon. Kudos for quick service and friendly staff!",Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
34,Fe8r1RUfm4IxsTajfXaRYg,Gen L.,5.0 star rating,Best crepes and ice cream place in the area! It definitely knocks over Cookies N Crepes in Jersey City. Portions are far more generous and filling. The delivery of it is also excellent. Ice cream comes unmelted and the crepes come in warm.,Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
35,lbqR1UY1pHt72Kre0Nm3Fg,Gayle B.,5.0 star rating,A perfectly indulgent made to order treat.5 rolls of heavenly ice cream with as many toppings as you like. A summer must. Plus the staff are super friendly and will tailor to your needs. Caters for gluten free and vegan.,Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
36,HFKLXEiwEGhjhkQRDH_s7Q,Constance R.,5.0 star rating,"This is the best ice cream I have ever had!!!! No exaggeration. The flavor I chose was knocking on heavens door and it was vanilla ice cream with Nutella and bananas and strawberries. I got Nutella on top with fruity pebbles. Each bite tasted like a bit of heaven. The fruit they used was so fresh I was impressed! Also, the price is very good too. We got two ice creams and it was was $12 and you could choose whatever toppings you want. They also deliver!!!! definitely will be back.",Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
37,tCjYkKd3jxm5-QoGqJuQgQ,Kelly R.,5.0 star rating,Have I died and gone to ice cream heaven!? THIS PLACE IS BOMB!!!!!!! Thank god we finally have an awesome ice cream place in Hoboken. I have only had ice cream once from here but it's taking everything in me to not be here every day especially since I have to walk past it every night. I had the mint Angels and Demons Ice Cream. The process to watch them make it is so cool. They have a bunch of toppings but since there was so much ice cream I decided to pass. At first bite you immediately think YEESSSSSSS. It doesn't taste overly fatty like Coldstone and is much simpler than Ben and Jerry's.I can recommend this place enough! Go! You won't be disappointed.,Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
38,kCF1JTsTUdz5f12e6eo9Ag,Grace S.,5.0 star rating,"Decided to try this spot out after dinner at Gogi Grill and it is AMAAAAZING!! New favorite dessert spot in Hoboken for sure. This place is following the new dessert trend that's happening in NYC, the thai rolled ice cream? Its the first one I've seen in Hoboken, and its very reasonably priced i might add for the quality and quantity. I ordered the MATCHA LIBRE (cute ice cream names heh), which was green tea mixed with red bean, and ordered a green tea with strawberry combo too. They chop it up in front of you and roll it on the freezer plate. You can pick toppings and there's an array of everything from mochi to meringue cookies to nuts to even popcorn!! The guy working was very sweet and was so quick with service. I've been to places like this in the city and they're definitely a lot slower when making the ice cream and much more expensive. The ice cream was delicious, creamy and the combos were perfect.I would really recommend this place to anybody looking for a new dessert spot in Hoboken/Jersey City. Its an interesting new spot in the area and its definitely a photogenic, ""instagrammable"" dessert. I would rate it 6/5 stars if I could :) will be returning soon.",Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
39,rK-jIalZZNnoAydl3TjsIw,Estee T.,4.0 star rating,"Wow! Randomly decided to order from here and the smores crepe was the best thing ever! It was huge and muti layered and tons of fun toppings. All different textures. Heaven. Not a perfect thin french crepe with gourmet filling but a big ""dirty"" delicious dessert. Definitely ordering from here again!",Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
40,hvncqWvfhnn2tA0J3p9HsA,Kenia F.,5.0 star rating,"I don't know what to say but this was great! I have ordered 3 times in the past week. My favorite crepe is banana with Nutella but I'm not here to talk about that crepe. I don't often eat savory crepes and I decided to try one that I might like because I could be a bit picky regarding the ingredients. I enjoyed Turkey, Apple & Gouda Cheese Crepe very much, unfortunately, I don't have a car so I have been ordering through yelp. I wrote this review because I'm craving this again haha.",Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
41,B-U7fN__cwJ45wbtihaHhQ,Fae S.,4.0 star rating,"Went for the first time a few months back. It was pretty hard to find since they share a location with Golgi Grill, but the dinning area is pretty big. The man at the counter was very helpful and nice. The rolled ice cream was very good and I enjoyed it!",Angel’s Recipe Ice Cream & Crepes,4.5 star rating,$,"Ice, Cream, &, Frozen, Yogurt,, Desserts,, Creperies"
