,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
17,D7Gg0MPqQPKPvbgX5XT0fQ,June C.,4.0 star rating,Tried their Monday burger day. $8.99 with their famous burger plus 2 topping (original like $15). It's real food and you can customize your burger. Restaurant itself is huge and have backroom too. Light is a little big dark. I would definitely come back again for Monday burger day.,Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
18,164xKMi0dLmwu2mC__XmnQ,Briana C.,4.0 star rating,"Been coming here for a long time now for holidays, always great service . Prices have gone up a bit but for the quality it's still worth it. Wish they would have their wings on their specials more often. Only seen them on their Twice. They also got rid of their rib and steak combo which is why I gave only 4/5 stars. And I only did that because I knew how great the deals used to be. I get t though some places much change with the times! I haven't had anything here that I haven't loved. Sandwiches are huge and well ""stuffed"". They have a bar area , a front and outside seating area and a regular dining area to please the needs of any atmosphere you are looking for. Decor is a little out dated but it's gives the authentic feel that it's been here for a while and still has great quality food. I always recommend  this place to friends and will continue to do so.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
19,MFIbixSIuAK6p0r0I21VeQ,AL A.,4.0 star rating,Haven't been to Arthur's in over 20 years so when I was in the area decided to stop in. The wife and I ordered the same Meal which was the original steak it came with potatoes also pickles and hot red peppers. The steak is a 24 oz ribeye. The steak was cooked medium rare and was served as requested. Steak tasted just as good as I had remembered it. The last time we ate there which was about 20 years ago we ate at the downstairs portion of the restaurant but this time we sat upstairs. We showed up on a Saturday afternoon and there was only two other tables with customers. The price for the steak and the potatoes is roughly about 30 bucks. We also ordered some beers. The service was extremely quick and friendly . The menu is definitely filled with other items but when an Arthur's I stick with the steak. Also have the French onion soup you will not regret it. If I'm in the area again and in the mood for steak I will definitely stop by Arthur's again.,Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
20,a0f1WawCbZmmupTjSd099g,Jadira Q.,5.0 star rating,"So I definitely had mixed expectations the second I walked into this place because it definitely looks like a dive type spot.I went because it was highly recommended by 2 people and I was really in the mood for a good steak.  I quickly noticed that the area where we were seated was filled with guys so that to me had to be a sign that this place was doing something right! lolIt was a no brainer to get the Arthurs 'Our Steak"" which was their 24 oz Marbled Cut Rib Eye that was served their Arthur's Potatoes.  Hey if you are going to a staple steakhouse in Hoboken, you might as well order what they are known for right? lol Lucky or perhaps unlucky for me I was sharing this steak because there was no way I was finishing a 24 oz cut!  We ordered a bottle of their Alamos Malbec that paired really well with our meal along with their Calamari for starters.The Calamari were good but nothing compared to the steak that was coming our way.  The smell alone had your mouth watering and one bite and you immediately understood why this place was known for their steak.  It had such good flavor and was cooked to perfection!  Their potatoes were also really good and we also got French fries.  We really should have ordered their garlic bread as well but it might have put us in a food coma lolI honestly can't believe I had not eaten here before and can definitely see myself as being a regular! Truly a gem hidden among all the bars on Washington Ave in Hoboken.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
21,JZYr09X0fGp5bcnXR7A3Ng,Eric B.,3.0 star rating,+  Old skool decor and ambiance.  Something sadly fading from this old working class town.+ Ginormous beers. Nuff said. + Not a chain.  Something which this city is severely struggling with given soaring rents our incompetent corrupt mayor Bhalla cannot/will not/is incapable of addressing.  - Not a quality steak.- Tired appetizer options.,Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
22,FWGKud1x3J0hHuq3W1HkRQ,JP S.,3.0 star rating,"The Hoboken location has been around for a long time. First time going there was in the 80s. Occasionally visited for special events and that steak itch. There are times when it is good and some are not. It has been consistent. You can always depend on having a good meal, leaving full and walking out with leftovers. Service is good and mostly accurate. Menu hasn't change much. Classics French Onion soup and garlic bread starters are always recommended. Steak medium, potatoes and A1 sauce. If I remember correctly there was pickles but we did not get any. Maybe its only for dinner.Arthur's is solid but not the best around. It's that good safe choice most will like. Recommended if nothing else floats your boat.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
23,QLtEhxCoAY-Attja9OAPYg,Michael K.,4.0 star rating,"What a great steak!Relaxed atmosphere, great service, fairly priced, and a nice steak. There wasn't a scrap left on my plate.The potatoes are great too.It is the perfect combination of a dive and a steakhouse.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
24,zTYUt-fWQUXDVada-2MGdA,Craig G.,5.0 star rating,"Trends come and go in Hoboken, and nowhere is that more on display than the main drag of Washington Street. Amidst the clubs, frozen yogurt spots, and juice bars is Arthur's, a decades old steakhouse and city institution.Here with a friend on a hazy Thursday night, we snagged a table outside and picked up one of Hoboken's best bargains: the Thursday night special for two. A shared appetizer, an individual entree, and a glass of beer or soda a piece for a total of $50. We split an order of calamari and each went with the junior sirloin.A plate of crisp calamari hit the table quickly, the squid just chewy enough and served with marinara and a spicy aioli. The steak (a 16oz NY strip) came a spot on medium rare, slightly charred, and well seasoned without too much salt. The pile of roasted potatoes on the side were delicious on their own and the lone pickled cherry pepper provided a bracing contrast to the rich meat.One of the best steakhouses in Hudson County",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
25,X7sQHngYvwOydNlDtzGqnQ,Henry T.,2.0 star rating,"My friends and I decided to come here after they were raving about how good their steaks were here. We were at Newport Mall, so this place was only a short 10 minute drive from there. Upon entering the restaurant, we noticed that there were only about 2-3 other tables that were occupied including ours. Not a good sign considering that it was a Thursday evening. The place had a bar-like atmosphere and we had to trek around corners over to the back of the restaurant until they seated us. The place had a distinct odor to it that I can't describe. Once we were seated, our waiter who was very hospitable took our orders. We all started off with 2 orders of the garlic bread (which was delicious, btw) and a friend and I split the ""Our Steak"" which was a Delmonico Ribeye done medium rare. We all devoured our orders once they all came. Our steak was ok-ish. A little on the salty side. And our 2 servings of vegetables tasted frozen and later microwaved. Yuck. The potatoes were especially dry. I usually don't like wasting food and I usually clean my plate, but I just couldn't here. Also, my friend's steak that she ordered medium rare turned out nearly well-done. Overall, I had a pretty bad first experience here and I probably wouldn't be back in the future. 1.5 stars rounded up to 2 for our nice server.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
26,sdkWib964Wug9eWWQb6byg,Jeff D.,3.0 star rating,"I've been an Arthur's fan for years.  I hadn't been for a little while so my son and I stopped in for lunch.  We both had burgers and of course a side of Arthur's famous potatoes.  The food was fine but not amazing.  I've had a sense that the quality has been in decline here and this trip confirmed it.  I've been to the Morris Plains location recently and felt it was much better, more in keeping with the Arthur's experience I've come to expect over the years.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
27,RZvGJYWGP61McRgWCMtEeg,Jin C.,2.0 star rating,"This is kind of a dingy and sad looking place with gaudy red and white checkered disposable plastic table cloths and utterly flavorless shrimp. Is the garlic bread good? Yeah, it's pretty tasty, but just get any soft white bread like potato bread and milk bread and douse it in a bunch of butter and garlic powder and you can pretty much recreate it.I got the shrimp cocktail appetizer, and you get five shrimp for $11. The shrimp were blanched out of its lives and had utterly no flavor whatsoever. But what am I doing ordering shrimp cocktail at what is clearly a steak and burger sort of restaurant, right? The BBQ ribs were pretty tasty, so I guess you'd be fine ordering that.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
28,Vavtd5JwMKYgxYz-X3Uyew,Huw P.,5.0 star rating,"This is my local steak house, I have lived in Hoboken for 13 years, the steaks are awesome and enough meat that I only go about twice a year, I have had less luck with other dishes but this is a steakhouse so ...., the drinks are very reasonably priced nothing to exciting but adequate.Best place to sit is in the back room as it's much larger than out front and has a nice atmosphere when there are a few people in.I recommend swapping the house potatoes for fries as I find them to be greasy, but each to there own.They do a deal on Thursday with steak for two and a starter and a desert I don't recall the price but it's a good deal.Go you won't be disappointed",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
29,PyrdnknOfqpPYXO1tQkyVw,Jennifer T.,4.0 star rating,"This place was recommended to me by one of my good friends. I thought I would give it a try. The boyfriend wanted to come here for his bday dinner. On one of the coldest days of the year, we trooped all the way to Hoboken and made our way to Arthur's. We got there at 5 and the restaurant was empty. We did not mind it one bit. We ordered the Loaded Nacho for appetizer. The Nacho was fairly big and it seemed as though it should be shared among 4 people and not just 2. But since we were hungry, we devoured it. When our steak came, I was pretty full from the nachos. The steak was delicious but there were more fat on it than I expected. But we were able to cut the fat off. Besides that, the steak was amazing! The service was superb considering we were the only ones sitting there. But the guy refilled our water and checked on us often! Great steak and relaxing atmosphere, who wouldn't come back?!",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
30,1AiaO-6VZIJD-jwF5JrDjQ,John Y.,2.0 star rating,"Tough meat in smaller portion, not like it used to be. Bad management, lower quality ingredients, higher price, Our Steak is no longer a bargain, and manager could not even speak English well. Sad to see long lived establishment going south.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
31,wsIY39U0k8ejLnIN8sS2BA,Dianne A.,5.0 star rating,"I have had plenty of ribeyes in my life, but I must say that Arthur's ""Our Steak"" is my favorite out of them all. I'm not sure whether it's the perfect marbling of the meat or the tasty sear on the outside, but I have yet to find a better steak anywhere else in the world. The potatoes that come with the steak are the perfect accompaniment to the melt-in-your-mouth ribeye. If you are looking for amazing garlic bread, look no more. Arthur's garlic bread is amazing. It is a mouthwatering combination of butter and garlic.If you are worried that a steakhouse like Arthur's won't satisfy your sweet cravings, put that out of your head. Their Tiramisu is heavenly. I don't even know if they make it themselves or order it, but it doesn't matter. Just make sure you order it.I love that they have a pretty good selection of beers on draft. Their ice cold Blue Moon with the gigantic orange slice quenches your thirst and cleanses your palate so you can enjoy the huge chunk of meaty goodness in front of you.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
32,zB8TS8sr8zLQ7hSu78Gkjw,Wei V.,4.0 star rating,"During 2017 winter Hudson Restaurant Week, I picked Arthur's as the first place to visit. This was the 2nd time visiting this place. When I arrived around 7PM on a Friday night, the place was pretty empty but after 30 minutes, it was packed! I had Our Steak with salad and cheesecake. My husband had Our Steal with soup and chocolate mousse cake. Both meals came with the garlic bread, which was my favorite part of the meal. Our Steak was good but a little bit burned. It was a massive piece of meat. I could only finish 1/3 of it. We took the desserts to go and had them for breakfast the next day. Chocolate mousse was very good, especially the Oreo crust. However, the cheesecake was too dense. The waiter was pretty nice and funny. However, the host lady was a little bit on the cold side.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
33,gxENC_UdtelREs0DEsrmrg,Michael N.,3.0 star rating,"This place screams 1972! Arthurs is what some may consider, ""a blast from the past,"" which is a big reason people come here.Reason you will come here:If you're in the mood for a steak, you're in luck, since they happen have the best steaks you can get on Washington.Ratings Breakdown:5-star steaks2-star burgers3-star service4-star atmosphereThe rest:Other than steak, the menu is hit or miss, as I have found the Arthur burger to be soggy and required a fork/knife, but other items such as the Filet mignon sandwich are on point. The service leaves something to be desired, with long wait times for food and check. In addition, we also never received water for our table. On a more positive note, the atmosphere is fantastic, and fits the mood for eating steak quite nicely. The checkered red plastic table cloths give the feel of an outdoor BBQ. Music spanned several decades, but mostly 60's and 70's. Definitely a cool place to check out if you ever wondered what old Hoboken was like.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
34,MnP4iGZVBm1u4v3kkvVO2g,Jewel Y.,4.0 star rating,"I came here with a group of friends from Japan so that they can try something very American. Their classic rib eye steak ""Our Steak"" lived up to its reputation, everyone agreed this was the best choice amongst all the different steaks we ordered that day including Surf & Turf, and Filet Mignon. Another favorite was French onion soup, it was surprisingly authentic, it reminded me of soupe à l'oignon gratinée I had in typical brasseries in Paris. This place is good for a big group, there are enough tables and all 6 of us sat comfortably in a round table. I really hate going to Hoboken because of the parking situation but I wouldn't coming back here again.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
35,z80Fc6xvrBJ5bVLSBiDv7w,Jenna L.,4.0 star rating,"The steak sandwiches are bomb, Reuben sandwiches are bomb, red sangria is delish, mango margarita was alllll sugar. Couldn't drink it. They have a good cocktail list as well. Our waiter was friendly. They don't do happy hour but we got dinner and two rounds of drinks for under $60 which is cheap for Hoboken and for the amount of food we got. The place is dark and has an old rustic vibe. Kinda reminds me of the old Irish pubs in the city. The party next to us came all the way from CALIFORNIA for the steak. They were so excited they finally made it. Def worth a stop for a good meal if you're ever in Hoboken.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
36,Gk8or95bGgVzBR0pUxSIfQ,Kyle B.,3.0 star rating,"When coming back home, it is a must to consider Authurs. Fortunely found parking easily on Washington St. Have eaten here countless times in the pass. Maybe it's my tastebuds, but the ""our steak"" just taste like a clump of meat with no flavor. Without A1 sauce it would be dreadful. Also on the website the steak is listed at 31.95.... but at the restaurant it is 34.95. I'm not one to nickel and dime over good food, but I do not believe it was a $35 steak. Good part about my experience was Alex the bartender. She was very good, knowledge, fast, and meet the demands of the needy waiters.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
37,D7Gg0MPqQPKPvbgX5XT0fQ,June C.,4.0 star rating,Tried their Monday burger day. $8.99 with their famous burger plus 2 topping (original like $15). It's real food and you can customize your burger. Restaurant itself is huge and have backroom too. Light is a little big dark. I would definitely come back again for Monday burger day.,Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
38,164xKMi0dLmwu2mC__XmnQ,Briana C.,4.0 star rating,"Been coming here for a long time now for holidays, always great service . Prices have gone up a bit but for the quality it's still worth it. Wish they would have their wings on their specials more often. Only seen them on their Twice. They also got rid of their rib and steak combo which is why I gave only 4/5 stars. And I only did that because I knew how great the deals used to be. I get t though some places much change with the times! I haven't had anything here that I haven't loved. Sandwiches are huge and well ""stuffed"". They have a bar area , a front and outside seating area and a regular dining area to please the needs of any atmosphere you are looking for. Decor is a little out dated but it's gives the authentic feel that it's been here for a while and still has great quality food. I always recommend  this place to friends and will continue to do so.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
39,MFIbixSIuAK6p0r0I21VeQ,AL A.,4.0 star rating,Haven't been to Arthur's in over 20 years so when I was in the area decided to stop in. The wife and I ordered the same Meal which was the original steak it came with potatoes also pickles and hot red peppers. The steak is a 24 oz ribeye. The steak was cooked medium rare and was served as requested. Steak tasted just as good as I had remembered it. The last time we ate there which was about 20 years ago we ate at the downstairs portion of the restaurant but this time we sat upstairs. We showed up on a Saturday afternoon and there was only two other tables with customers. The price for the steak and the potatoes is roughly about 30 bucks. We also ordered some beers. The service was extremely quick and friendly . The menu is definitely filled with other items but when an Arthur's I stick with the steak. Also have the French onion soup you will not regret it. If I'm in the area again and in the mood for steak I will definitely stop by Arthur's again.,Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
40,iUzL8r7d6MHDKJq57UsxWA,Camille S.,4.0 star rating,"The Steak or The Double.I used to be able to go through a 24oz steak here back in my prime, but now I'm older, and my metabolism asks me to share that steak with my friends...Good spot for ribeye, it's just okay when it comes to everything else thoughYou have to ask for pickles now... Don't forget! It's just not the same without them",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
41,Y1HAw4aUyiIgOcX3Q0ozSQ,Daniel D.,2.0 star rating,"This used to be a casual treat for us.   Big juicy burgers, tasty steaks and a good value.  That is gone with the current owner and we are reluctantly scratching it off our list after a Sunday afternoon visit in an nearly empty restaurant.  $14 for an average cheese burger and a small order of soggy fries? Nope,. Too many options in Hoboken   $14 for a cheese quesadilla (no guacamole) ?  Sorry.  This owner is short sighted.",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
42,MW7K5I06XMgBjm9IG3fEGw,Kels M.,2.0 star rating,"2 stars for the service- warm and inviting. That's about it. I ordered their filet mignon and mashed potatoes (+ asparagus), my brother went safe with a burger and fries. Something in my meal combination gave me food poisoning. I am absolutely never going back. Traumatized really",Arthurs,3.5 star rating,$$,"Steakhouses,, Bars,, American, (Traditional)"
