,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
17,Yy_kix6MLxS1Y-bB_SS8sw,Jessica M.,5.0 star rating,Best burger in town!! Love coming here during the week for dinner or on the weekend for brunch. They have awesome bloody Mary's too!,Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
18,oMFWQKBM6PiJfhelHej__g,Kyle O.,5.0 star rating,"Good overall spot, off the strip (""Wash"") so it draws a better, more local, crowd, which is nicePros:Right by the library and park, you can make a day out of it without leaving a two block radiusGood food, and not just good for a bar, but actually good food in the back or in the barWe like the nachos and sandwichesNice servers, fast and attentive service with a smileNot bad prices without specialsCool ambiance and nice decorations, we love the art work in the backNice outdoor seating if it is nice outBread is really good, get oil with Parmesan cheese people!Good musicCons:Cold in the winter, they need to jack up the heat or seal the windows/doors betterKind of small, fills up fast, and could use some more TVs for the big gamesSo yea, I am a fan, a Hoboken staple",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
19,kl41oNZzYGkPChqgPnOTTQ,Joshua B.,4.0 star rating,"Great food and service! Two colleagues and I stopped by after a long day. They were slammed, but we were seated within minutes. She brought us bread and took drink orders. The Dogfish 90 IPA on draft was amazing and a perfect temperature. I ordered the pasta special. Needless to say nothing was left on my plate! Would have gotten 5 stars however the shrimp that was added in the pasta was extremely overdone. Chewy consistency.. However everything else was outstanding. For appetizers I recommend the calamari. Def would go back!",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
20,5QXQjHmPiO6Plj1eF_oxpw,Belle D.,4.0 star rating,"My boyfriend lives a block away from Onieals, so we always pass it while walking to or from our cars. It's always packed and after reading yelp reviews, it makes sense why! When we were looking for a place to eat dinner for our date night, Onieals was at the top of our list.The seating is very limited, but thankfully we came on a Sunday night and it wasn't very crowded. We were seated in the dining room and given menus to make our choices for dinner. We were sitting for 15 minutes before asking if we wanted anything from the bar and if we were ready to order - this is where they lost a star for me. We saw waitresses constantly visiting other tables, but felt that our waitress had neglected us. We didn't even get bread for our table. When we were finally seen, we ordered their hummus and The Wall Streeter burger with monterey jack cheese instead of cheddar. The hummus came out with warm, lightly toasted pita, which was perfect since we were starting to develop a strong sense of hunger by this time. The hummus very blended, so if you're into chunkier hummus, you might not like the texture/consistency. I usually like chunkier hummus, but found the balance of acid with the chick peas to be perfect. My burger came out exactly as ordered and the bacon was crisp to perfection. I understand now why people claim that Onieals has the best burgers in Hoboken.Overall, I would come back for dinner the next time I was in the mood for a burger in the neighborhood. If the service was better, this would have easily been a 5 star review from me!",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
21,_TwgAShonhh5F1agEtDgVw,T G.,5.0 star rating,"Update! Burgers and Mac & cheese 5/5 so good!! The waitress even brought over warm bread so we could mop up the warm cheesy goodness- we also really like the waitresses and the homemade pesto! So good!Great hidden gem, stopped by on a Saturday around 11 and the place was comfortably busy. We sat at the bar shared chicken nachos and drank whiskey. The nachos was loaded with toppings. Perfect for a late night snack. Bartenders were friends and helpful- will definitely return def a great place for locals.",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
22,6-wu1LQ1nEkRUTRCrL3rbw,Ryan B.,5.0 star rating,"Moved onto park avenue about 2 months ago and this is my go to place whenever my family comes into town to visit me. The burgers are awesome, Shepard's pie is great and the penne vodka is delicious! Prices are fine, nice selection of drinks and the bar has a nice young crowd on weekend !  Definitely recommend",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
23,Ox6NXoHS5rFQ3FA_-oKdaQ,Christina B.,3.0 star rating,"Was excited to finally try ""the best burgers"" after having lived in the area for 4 years. When you walk in, it's an upscale bar with a small seating area in the back. They don't take reservations but we only ended up waiting about 10 minutes for a table. Service was quick as servers were attentive. After having read reviews on the non-burger food, we decided to order two burgers for entrees and the penne vodka appetizer. Surprisingly, we both liked the penne vodka appetizer more than our meals. For burgers, we got the The Ragin Cajun and the Wallstreeter. The meat within the burgers itself is cooked well but the burgers themselves are very plain and come with a store bought bun. The Wallstreeter was better than the Ragin Cajun as the Ragin was actually a bit try even when adding the sauce. For drinks, I liked the Mexican Mule. Would definitely come back to try more non-burgersService: 4Burgers: 3Penne vodka app: 4Drink selection: 2.5Mexican Mule: 3.5",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
24,wPT-st7zsozHBfk_NR-epA,Miranda W.,3.0 star rating,"Didn't like the food, but the service was fast and accommodating.",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
25,dhOqnSLAewskzcESDf0BfA,Steve R.,5.0 star rating,"Created an account just for this review!O'Nieals is the best burger you can get in Hoboken. They also have a great chicken sandwich.Non pretentious, great food, good vibe and good prices. Also a great beer selection! Have had Chimay on tap there.",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
26,-EWQ9qJE0iRvODHQpbMsZQ,Joseph A.,3.0 star rating,"Nice staff, good vibe, and a well written menu that touts that perfection takes time. But the food is just OK. Ordered a burger and the meat was done just right - but the bun, toppings, etc were pretty meh considering the cost. Strange to slack off on that stuff when you get the patty right. Fries were also way over cooked. Worth a shot if you live in the area - but once is enough for me.",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
27,iHV_Ef7WMAu6u0XNyZgvJA,Sara M.,4.0 star rating,"If you're in Hobo and faced with the 'where should we eat' debate, then I definitely suggest checking out Oneials. The vibe is casual and relaxed, the menu has got plenty of classic and easy to please options and the prices are fair.I came in with some pals on a Wednesday. Partly because we were hungry and needed some food, but largely because of their 1/2 off wine specials. We had a great experience, and I'd definitely come back again for a meal out in da 'boken. Although there was a bit of a wait for a table, live music and half priced wine at the bar made it easy to pass some time. All of the burgers sounded incredible, but unfortunately I'm **trying** to be healthy and ended up going with a spinach salad. The spinach was just about the only healthy part because the salad was smothered in bacon and goat cheese- oooopsies. The menu has a ton of options - everything from pasta dishes to crab cakes. Regardless of what food mood you are in, you are guaranteed to find something that you want to eat.Hoboken has a ton of great dining options, but make sure not to overlook Onieals! If an hour wait on a Wednesday night is any indicator, the food here is pretty damn good. I'll definitely be back in on a weekend to try out some brunch.",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
28,ecJCceyTjsx7t9QBd53Wmg,Jason W.,5.0 star rating,"I had almost forgotten this place but luckily I stopped in this past Sunday for a late brunch and was lucky enough to get a table in the bar area. It's more fun than the dining room and you can catch the game. Started with the buffalo shrimp. Great buffalo sauce, not too overpowering and lightly fried with no breading which is the key. Anyone worth knowing doesn't eat breaded wings. Great blue cheese dressing too which isn't always a given.Next course was the Shepard's pie. Great flavors. Very simple well seasoned ground beef, peas, carrots, and perfect whipped potato char on top. Near perfection. Not too filling which is nice. It comes with a side of seasoned sautéed spinach. A nice touch because we really needed something green on the table. Dessert: an Irish coffee with Jameson.It's the perfect winter warm up meal at a true  hoboken mainstay. Service is always great. This plays does food right.",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
29,uOPqYG5GpeokCCaKBD8VHg,The Man G.,1.0 star rating,"Used to be pretty good, but it's gone down hill lately.  The burgers were the best thing going on - but they swapped out the bun (was brioche) to cheap supermarket bun.  Expensive for what you now get.Fries are hit or miss - depends on the batch.  Lately they've been super dry.I've tried the entrees, chicken parmesan is not edible.French onion soup is pretty good.Location and outdoor seating is best thing going for it.  I hope they get their act together, I'd like to put this place back in my rotation.",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
30,UyahPFdg1CqOILMDf_LDQw,Kristen P.,4.0 star rating,"Loved the seating in the back! Way more intimate, warm, and cozy than you'd expect for a bar! We went as a party of six and ordered nachos and burgers. The pace was nice and relaxed for a group meal. Didn't feel rushed at all! Burgers were good, nachos were decent. I'd come back if I wanted a cozy, not too loud place to get some bar food.",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
31,tqe5Bro1zHNCBkf89vrCQQ,Chris C.,1.0 star rating,A lot of my friends like this place so I have given it many chances but I'm not a fan. There is not a good beer selection - only Miller Lite for light beer. The bar in the front is small and not many TVs. The men's bathroom is tinier than a NYC closet. The back dining room is dark. There are a bunch of outdoor seating with views of the park which is nice. And as for the food I'm not impressed. The burgers are sub par and the fries are not memorable. They have a diverse menu but the only thing that I've had hat is tolerable is the chicken noodle soup. Finally the service is not great. Male waiter we had once was good but the female hostess is not attentive nor helpful. Takes a really long time to get a table and the hostess eats her meal in the main dining room for all to see.,Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
32,Y0UjyXShIbqPjly8I-_rgQ,Brea V.,5.0 star rating,Went to Onieals in Hoboken with my sister when she came to visit. They were very hospitable and seated us near the door. I ordered the chicken parm and asked for penne and the nice waiter recommended me getting it with their delicious vodka sauce and let me tell you.... it was so amazing.  My sister enjoyed her vegetable medley pasta (the name of it escapes me) and she got an order to go for her fiancé. I will definitely be back to Onieals!!!!,Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
33,gzrbzSQuUZvFM2L9dR6A2Q,Jason A.,4.0 star rating,"I came to Onieals on a Thursday night for a quick bite to eat. I was quickly seating in the back of the restaurant. In the back it offers a very warm and intimate atmosphere. In the front of the restaurant there is the bar area with a couple high top tables. It would seem like a perfect place to grab a drink with friends. Onieals are known for their burgers and boy are they good. I think you can not go wrong with their burgers and also the portions size are generous. I ordered my burger medium-well and the chef cooked it perfect! After our initial order it took about 10-13 minutes to get our food. The wait time was not bad at all because they gave us bread and our waiter kept checking up on  us to make sure we were ok. Also, i must note that the prices here are very reasonable. I would highly recommend Onieals to anyone looking for a good burger from a small intimate local spot. I would rate Onieals as follows: Food Quality is 4 Stars, Service is 4 Stars, Atmosphere is 4 Stars and Price is 4 Stars.The views expressed are of my own and are my true personal experience at this establishment. My personal experience may not reflect this actual establishment, their quality or someone else's experience at the establishment.",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
34,QmXD8PoMBe5WHX0diF2g0g,Shonnie H.,3.0 star rating,"3.5 stars(for/in Hoboken) for Sunday brunch. Hostess took a while to seat us and I was starting to lose my patience when no one came to our table for the first 15 mins- I even tried to wave down a very depressing guy with a furrowed brow to no avail.  We kept on ordering Bloody Mary after Bloody Mary but it certainly wasn't strong enough to give me an excuse to be carried home. Better luck next time *tee hee*We ordered chicken nachos and French toast with eggs. Both were very decent. The nachos had good flavor and enough toppings- no one skimped us on the cheese, hooray!!!! The amount was HUGE so we had to take some home. We did eat it later that night, and it was still pretty bangin'. Seems like a neighborhood favorite, and I'll be putting this on my rotation list as well. I wanted to lower it to a 3 star for subpar service (or no service rather), but I'll give them the benefit of the doubt just this once.**** For dinner: 3 stars. Service was just as terrible. The food was fine but I wasn't thrilled with the price of a regular titos drinks ($16 I think? Seriously? It's not even remotely classy). No one came by for a while and we had to keep waving down a waitress - even for the check. STAPH.",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
35,qwIw2vjdEqkuItnSbNpDzg,Allison W.,4.0 star rating,"Onieals was our restaurant of choice for a pit stop in Hoboken en route to Manhattan, and I was somewhat stumped with where we should eat. Onieals had a casual feel, extensive menu, and reasonable prices, so we went with it and it was a great choice.We shared nachos to start (ok, a little heavy handed on the sour cream) and then got a burger (for him) and pasta (for me). Everything was good, but I have to mention the fries! I was snacking on them long after I filled up on pasta, they are just that addicting. It was an interesting concept with the loud sports bar up front and quieter restaurant in the back, but I enjoyed my dining experience.",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
36,3LP5F9OCoKlxfOcSofXNqw,Jacqueline K.,5.0 star rating,"BEST.BURGER.EVER. This is my go to dinner spot.  If all else fails, if I'm hungry, if I don't want to cook, whatever it is, Onieals is the answer.  The All American burger with bacon is so mouth watering I may have to go over there when I'm done writing this even though I just had one yesterday... There is something to be said for the juice that comes out of your burger when you squish the bun down to take that first bite and I'll be damned if I find a burger that does it better than this one.  I've had a few others ( John Wayne & Caprese ) and tried the Shepherd's Pie on a snowy day but nothing beats an All American with bacon and french fries.  Plus, they have a really yummy wine list, intimate seating, live music and good service.  This is mine & my boyfriend's spot, its our happy place, it should be your happy place too!",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
37,Yy_kix6MLxS1Y-bB_SS8sw,Jessica M.,5.0 star rating,Best burger in town!! Love coming here during the week for dinner or on the weekend for brunch. They have awesome bloody Mary's too!,Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
38,oMFWQKBM6PiJfhelHej__g,Kyle O.,5.0 star rating,"Good overall spot, off the strip (""Wash"") so it draws a better, more local, crowd, which is nicePros:Right by the library and park, you can make a day out of it without leaving a two block radiusGood food, and not just good for a bar, but actually good food in the back or in the barWe like the nachos and sandwichesNice servers, fast and attentive service with a smileNot bad prices without specialsCool ambiance and nice decorations, we love the art work in the backNice outdoor seating if it is nice outBread is really good, get oil with Parmesan cheese people!Good musicCons:Cold in the winter, they need to jack up the heat or seal the windows/doors betterKind of small, fills up fast, and could use some more TVs for the big gamesSo yea, I am a fan, a Hoboken staple",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
39,kl41oNZzYGkPChqgPnOTTQ,Joshua B.,4.0 star rating,"Great food and service! Two colleagues and I stopped by after a long day. They were slammed, but we were seated within minutes. She brought us bread and took drink orders. The Dogfish 90 IPA on draft was amazing and a perfect temperature. I ordered the pasta special. Needless to say nothing was left on my plate! Would have gotten 5 stars however the shrimp that was added in the pasta was extremely overdone. Chewy consistency.. However everything else was outstanding. For appetizers I recommend the calamari. Def would go back!",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
40,c_S0EhI0ariqenLb4njIfA,Rina N.,4.0 star rating,"Very good American food - the burgers here are really tasty!! The Californian with the avocado is by far the best (so far). I had their Cajun chicken sandwich but my chicken was pounded to paper thin size, so unfortunately I felt like I was getting jipped  from the price. Also it uses the wrong type of bread..it was served on a fairly tough baguette, I think it would taste better if it was on a roll. The flavor combo is very good though still! I've sat inside where the staff was great, but when sitting outside it seems like service slowed quick a bit. There were times I'm pretty sure my waitress forgot about us, I had to go inside to ask for the check. Otherwise, this is a great spot if you're feeling like chomping down a burger!",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
41,wbA0zcJr05_uDJDJAxNh2w,Will Y.,5.0 star rating,"I came here for brunch on a Saturday with the wife and Max (Shiba). The brunch was delicious and the bloody mary was good. We were seated in the back, which is a little more quiet and private. This spot is also located near the dog park and children park, so a great spot to take a walk and roam around.",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
42,Rx_r8TTbuK2D0nfYaJXxsg,Kelly K.,4.0 star rating,"Before even sitting down for my meal I fell in love with the outdoor ambience, the cute little park across the street, and the fact that it was inconspicuously located off a quiet side street away from the hustle and bustle of Washington. It was ideal for enjoying a quiet meal outside whilst people watching. Sidenote- they are dog friendly! Several patrons had their pups beside them at the tables, and the server even brought out water for them, I appreciated that.Their beer menu is a little lacking. They had a longer list of bottles but on tap they only had a handful. Nevertheless I tried an IPA recommended  by the server and I loved it so I was happy. For food the loaded nachos were great, nothing unique or more special than your standard nachos but they were cooked and prepared perfectly (not soggy, cheese melted, all the accoutrements included) so again, I was very satisfied. For my main I got the veggie burger with sautéed mushrooms and onions which was served on a baguette with fries. Although the bread was nice I would have preferred a regular burger bun. Somehow it didn't compliment it very well to me, also the burger itself was dry and lacked seasoning. I suspected it was once a frozen patty, but still it wasn't the worst I've ever had. My boyfriend had a massive burger which was awesome. I would suggest ordering a burger as they have a wide selection on their menu and they are massive!I would definitely return to try out some other options on their menu. Cute spot for date night!",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
43,pUgl95ZVP6gSejE6h8Jynw,Tim C.,2.0 star rating,"I keep trying to like this restaurant, but it seems every time I go something turns me off. This week I went for dinner and while the food was ok, it was nothing special.Aside from the food not being good, it is overpriced too. This week the waitress was just rude. Not at all friendly and openly annoyed that she had to work. It was a nice night out, but we were unable to get outdoor seating. That's understandable because the area outside is very small. All in all, it was an ok meal in an ok restaurant with less than ok service. I've tried, but I won't be going back again.",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
44,d72RpxpAKCyA-KlTr8XoyA,Michael K.,2.0 star rating,"Went to Onieals for an early Saturday night dinner. The air conditioning didn't appear to be working properly, as the restaurant temperature had to be nearly 80 degrees. Ordered two cocktails that were very strong, but lacked any semblance of flavor. Ordered the buffalo chicken sandwich. What came wasn't buffalo sauce and blue cheese on a hearty breaded chicken cutlet like I was expecting, but rather a paper thin slice of grilled chicken. Asked for the check, the server puts it on the table. No ""thank yous"", no ""see you next time"" nothing. You don't have to be a Michelin starred restaurant to get the basics right. There's too many other spots in the area to give this place a chance.",Onieals,4.0 star rating,$$,"American, (Traditional),, Sports, Bars"
