,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
10,k8ToEsaJuHbT-fGtFhpzKw,Bryan C.,4.0 star rating,My walk brought me to the congress st station so decided to go up the cliff to try out Cliffs.   You might  miss this place as does not look like much.  There is more seating out back which on a nice day is the perfect place to get some brunch.  The do not have alcohol but do have virgin versions of brunch cocktails so need to bring a nip to make a real blood Mary.Service gets 5 stars based on willingness to add mint to lemonade. Not sure why not on menu as put mint in watermelon and have the lemonade.  It would be better if mint allowed to steep in.The French toast looked amazing but like most thick cut toast was a bit dry. I wish the bread was half as thick and got 4 slices.  Also could use less marscapone and more syrup.  Fruit tasted fresh. Food gets 3.On a sunny day this place gets 5 star as perfect backyard.  The main part is very cute as got all the requisite cute cafe coffee shop look.,The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
11,ZZELut-m0rSyivf8saCMKA,Mark S.,4.0 star rating,"Weekend brunch review.....This was actually my second visit after having been here last weekend.  It is a vegan/vegetarian place but you will never miss the meat.  Their dishes will tempt any person's appetite and the flavors are on point.  They opened a couple of months ago and the outdoor patio, although quaint, was pretty full on a dreary day. For drinks we each had the iced coffee, with myself requesting and getting a shot of espresso added.  The Mrs. had the omelette special which consisted of tomato, basil and mozzarella. It was accompanied by roasted potatoes, a refreshing arugula and whole grain toast.  I in turn enjoyed what I had last weekend so much that I ordered it again, the Acai bowl.  It was served with plenty of fresh fruit, bee pollen and chia seeds.  I kept getting brain freeze eating it so fast. Look, if you want to break up the monotony that can be weekend brunch, The Cliff is like a breath of fresh air with their menu. That is coming from someone who is a carnivore and throughly enjoys weekend brunch. Welcome to the Heights.",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
12,Ralo7wlSbCF5IM3Z46y8PA,Yeraldine S.,4.0 star rating,"#TheCliff is a new addition to the heights. I was able to stop by with some of my favorite Yelpers for a Saturday brunch. We all were very pleased with our experience.The place has a few tables but the environment is inviting and cozy. They also have a back patio area that we weren't able to sit in because of the weather (boo). The brunch menu had some great choices but I decided on the Brioche French Toast topped with mascarpone, almonds, berries. Delicious. A side of scrambled eggs paired perfectly. I ordered an ice latte and it was great. I always feel like I need to go a little further then what I would like to get myself a decent iced latte but seems like The Cliff is a contender to be one of my top choices. I am a bit disappointed that the small latte is $4.00 and if I compare this to my next place- Black Rail, I can get a medium at the same price tag. Gary, the owner, was super friendly and wanted to make sure our experience was a good one. Already planning my next visit!",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
13,BwRj4j0DfnqMGEB2BLgZVQ,Kirti B.,3.0 star rating,"I usually love The Cliff, but I just got one of their carry-out breakfast fried ""tacos"" and it is literally leaking oil... I can't give it less stars even though I desperately want to because their regular menu items are pretty spot on delicious. I just wish these carry-out items were easier to carry out and didn't leak from the paper bag. I understand it's fried, but I'm sure there's a better way to package this. I feel really uncomfortable eating this dripping in canola oil. Just wish the owners would think about this when putting it on the menu. Despite all that it does taste good, but you have to look past the oily food. I didn't expect it to be honest, and I had oil dripping all over me",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
14,OpeOlBgwIi9YieTo4jS-2Q,Jonathan C.,5.0 star rating,"This place is simply amazing.  Located in the middle of Jersey City, you simply wouldn't ever expect to run across a place like this.  The decor and staff are all very warm and inviting.  If the weather permits, I recommend sitting out back.  In the back, the restaurant has beautiful outdoor seating with colorful umbrellas hanging on clotheslines to create an impromptu roof that is fun and interesting.  However, the real reason to come here is the FOOD!  Everything here is fresh and made in the kitchen (excluding some specialty baked goods and bottled products).  The food is divine.  The omelette was made perfectly and had a beautiful balance of flavour from all the fresh ingredients.  I cleared the plate and still ordered an açaí bowl to go.   On my second visit, I had the french toast which was also quite good as well.  I wasn't a huge fan of their tea but they were happy to let me bring my own tea bags.   Overall, it's hard to find fault with this little gem.  Parking can be a bit of a hassle but it's definitely worth your time to visit nonetheless.",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
15,whlNWC9jGkOG2iTIUKpjeQ,Courtney H.,5.0 star rating,"Love this place! Great food and atmosphere and the service is friendly. The outdoor patio is quaint and decorated cute with umbrellas hanging from above.Iced cold brew coffee, Huervos Rancheros and Pressed Mozzarella Pesto Sandwich are good.",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
16,nlmQwcD8abaJmh5ffmAm8A,sonia k.,5.0 star rating,Really cute brunch spot.. a total hidden gem.. we enjoyed the breakfast selection here as well as the fresh juices.. The decor in the backyard is so unique and inviting too.. a must try for locals.. also the owners are so nice and welcoming and pay attention to the details.. We'll be back!,The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
17,wTy7z5ld4TiUt6pjFypUvg,Barbara S.,5.0 star rating,"I can't stop thinking about this gem!!! It is absolutely stunning - I mean...without sounding like a ninny...this place is ""gag-me-with-a-spoon-beautiful""!!! I could've stayed here for hours!!!! Both I and my friend stopped here for a quick bite and we couldn't stop marveling at the great coffee,great food,great atmosphere...and by all means the great people that run this place. If I could give it 6 stars...I'd wish I could give them 7 We both ordered the cod burger with fries...yum & yum! If you're looking for a great place to eat or to catch up with a friend...you must pop in here. Absolutely darling.#swoon",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
18,00xwp95h-pWqHtFVw2Ggqw,Raena W.,4.0 star rating,"My first visit at The Cliff was a success! The decor and vibe is cool and chic. I ordered a vegan coconut vanilla donut and the tofu breakfast burrito with arugula. The burrito was full of flavor! It was truly delicious and you will not miss the meat. I didn't care for the donut. It had a moist muffin- like texture and didn't taste like a donut. But hey, you can't win them all. I am very pleased with The Cliff and its now a place I can go to get a warm, filling delicious, breakfast.",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
19,FYFmHgtLBe-FSiTnarITEg,Kelle C.,5.0 star rating,"A welcome addition to JC Heights. Came here with some other fab Yelpers and we had a great time. It's a beautiful space. Not huge, but tons of light and really interesting details everywhere. The brunch menu has a lot of delish options. Ya'll know i'm a carnivore at heart but I honestly didn't miss the meat in this meal. The menu is vegetarian and vegan but there's something for everyone. I had the brioche french toast - delicious! The mascarpone was perfect, the berries were fresh, and it was a satisfying portion. I had a fresh lemonade that was so refreshing and delicious. All of the drinks were delish but if your brunch is not complete without bubbly, they do offer a variety of fresh-squeezed juices and you can BYOB. Our waitress was so lovely, and Gary, the owner, is fantastic. My friend Joe and I are hobbyist photographers and we wanted to take pics of the adorable patio area. We didn't realize that they had cleared the placesettings because of the rain. Without asking, the staff re-set the tables. They take pride in their restaurant and want to represent it at it's best. That was an above and beyond moment, something that shows us they're attentive to their customers. I'm so glad to be back in the neighborhood. This was an easy walk from my new apartment and i'm looking forward to becoming a regular.",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
20,zMilz6OlDmRAxiReuMGgBg,Gina R.,5.0 star rating,"Such a fan of The Cliff.  Brunch/coffee shop pick in the Heights if you are looking for healthy food made with care.Definitely get the kale salad (with salmon).  Lacinato kale was cut into bite size pieces and was tender enough to enjoy.  Dried cherries and sliced almonds mix perfectly with the avocado purée dressing.  I can't imagine anything here would be anything short of amazing.  All of the food is prepared with love and care.  Plus it is healthy-ish, good for you.  Maje points.Lots of different milk options.  Dishes can be customized according to your dietary preference, too.  So gluten-free, dairy-free, come here for options.Scandinavian inspired curated selection of beauty products are nestled on a wall.  I haven't purchased any, so I'll report back when I do.The decor is the best.  Inside there's lots of white marvel and plans growing.  Everything is so cute!  And there's an outside deck area open when it's warm outside.  It's the perfect spot for a little impromptu brunch or even meeting.Closes at 5 PM.  So only breakfast and lunch, and if you are like me, the afternoon latte and snack.",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
21,5aZX8bTiD0k9vR60SG588Q,Alison C.,5.0 star rating,"I have to admit that I was not super familiar with the Heights section of Jersey City, but was certainly aware that the neighborhood was rapidly thriving with new and innovative small businesses.  When my friend, who lives in the area, was trying to decide what lunch space he should introduce me to, I specified what I was looking for something healthy.  He immediately suggested The Cliff, a place I was unfamiliar with.  We found a street parking spot and walked around the corner to this adorable café.   Inside were a handful of tables, including one with a cushioned bench in each of their two front windows.  There were also a few counter seats that looked into the kitchen, as well as a rear garden, for which it was sadly too cold to enjoy.  My friend asked if they would make him a red-eye, which sounded so uplifting that I decided to join him on his caffeine fix.  The brew was rich, creamy, and chocolatey.  For food, I ordered the ""Bowl Of..."", a menu item that my friend had not seen, so he was very confused by my request and asked me to confirm what I actually wanted in that bowl.  The server and I giggled, clarifying that that was actually the name of a quinoa lunch bowl.  The grain was served cold, along with some mixed greens, chunks of fresh feta, large cucumber and avocado slices,  as well as Kalamata olives.  There were also scoops of hummus and harissa paste considerately heaped on the side of the plate.  Lastly, a thin yogurt sauce had been drizzled over the top of dish, keeping it bright and textured, without the ingredients drowning in some kind of dressing.   It was obvious to me that The Cliff was dedicated to using fresh, good-for-you ingredients.  When they served food that enjoyable in such a cozy, homey atmosphere, it was a win all around.  I left eager to return at a warmer time, so that I could appreciate the backyard space.",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
22,tbo42-WzSzS9XwRkqrY5lA,Graciela M.,4.0 star rating,"I would stroll back into The Cliff, a local cafe in Jersey City Heights, again. Three awesome things I noted on my first visit:1. They are byob, but check this out; if you run out of booze or forgot to bring some, they have a delivery service with a local liquor store that brings you your bottles in 5 minutes! How cool is that?! 2. They have cozy and shabby chic decor inside and out. Love the exposed brick and lights in the interior and umbrellas filled ""ceiling"" in the backyard.3. They have a pretty neat variety of meatless options for vegans, vegetarians and pescatarians such as mushroom bacon, avocado toast, housemade granola, kimchi grilled cheese, an awesome cod burger, vegan burgers, etc.  I should mention that ALL their meals are meatless, but you can add wild salmon or smoked trout to anything.Bonus points for super friendly and knowledgeable waitstaff  ****************************************************",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
23,-gek-IX3vruIcBHOKfTTVw,Matthew L.,5.0 star rating,"The Cliff is a great find in the heights. We went there for a late ""brunch"" and enjoyed everything. The watermelon juice was delicious. I ordered the Cod Burger but did not know what to expect, it was very flavorful and different than anything I have had in a while. The Nuevo Huevos Rancheros came separated and you made your own egg taco, also very enjoyable. The Cod Burger came with fries, which we requested their truffle ones, they were so good we ordered a side to go. It was also very cool that this place is dog friendly, this will be a new staple for us on the weekends.",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
24,a0f1WawCbZmmupTjSd099g,Jadira Q.,5.0 star rating,"What is there not to love about this place! Everything about this establishment is super cute, cozy and their food impeccable.I came here with one of my friends for our Annual Christmas Gift Exchange and we were lucky enough to find parking right in the front and also able to sit by the window in their nook area. You immediately feel the coziness of the place when you enter and the aroma alone leaves you salivating for whatever it is they are whipping up in the kitchen.As an added bonus, it's BYOB place AND has a connection with a nearby liquor store so you can actually place an order for a bottle and they will deliver it straight to the restaurant! How awesome is that?Plus everything is freshly made here and you could taste it in their food. The orange juice for our Mimosas was freshly squeezed and if I remember correctly their fish comes from Iceland.  The waitress was super knowledgeable of the menu and was key in helping us decide what to order.  I ended up getting the Icelandic Cod Burger and they were able to replace the regular fries with their truffle version and my friend got the Nuevos Huevos Rancheros.  I should also mention they have their own version of bacon made from mushroom...Yes mushroom!  We didn't order it but it sounded soooo good and definitely want to try next time.We were able to exchange gifts and sip on our mimosas while the food came out.  When the food arrived, our taste buds were in for a treat!  First bite into my burger and I was in heaven.  The fish was very fresh and flavorful and my friend also enjoyed her dish, which she let me taste.  It was not your traditional Huevos Rancheros but the flavor was good.  We also ended up ordering more truffle fries but this time it came with melted gorgonzola cheese on the side and WOW!  That cheese was everything with those fries!  They also let us taste their strawberry banana shake...yummy stuff!I really loved the service here and the quality of their dishes.  I am looking forward to returning once its warmer out so I can sit in the back with the brightly colored umbrellas!  Thank you The Cliff for making our exchange such a memorable one! :)",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
25,s6TnINODnAwhHk0e_QXayg,Arshi K.,4.0 star rating,"What a wonderful little hideout in the heights! Truly innovative vegan and vegetarian brunch options and the service was impeccable too. I loved the press avocado toast with a side of arugula - opted for the sourdough and it was simple and substantial. The husband had the cod burger - the patty was lightly grilled and even though it looked small, it was pretty filling. The razor fries were a  favorite. Also has the watermelon salad with feta and it added a lot of zing to an afternoon brunch on a summer afternoon. I would definitely come back here to try the tofu scramble and other veggie options. Carnivores beware...they don't have any meat on the menu.  The umbrella installation is totally wow and adds a lot of drama to the patio. #winwin",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
26,wlatg-F2jJAh8cqt2ADIEg,Ahmed A.,5.0 star rating,"I usually don't venture out to Jersey City Heights that often, but I sure am glad I did today. This is a nice boutique breakfast/brunch gem! I came hungry and walked out truly satisfied. I ordered the salmon and asparagus salad along with a hot cup of coffee! Also wanted to get something bit savory so I ordered the ""pumpkin walnut chocolate chip"" muffin"". Everything was absolutely delicious!Prices are not on the cheap side but considering the quality of food and the healthy aspect I do not think it's too bad. The servers are also pretty attentive and nice. Skip the bacon and corn beef hash and give this place a try! Stay healthy!",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
27,Gp89goVF9HWYujti-UaZRg,Sarah K.,5.0 star rating,"Very cute, delicious restaurant in J.City. I've dinned here twice, both for brunch and it was very yummy. I am sure their lunch options are delicious as well. My friend and I eat a lot when we go out for brunch and we got 3 dishes to share. All the dishes hit the spot. I recommend getting their coffee or pressed juices to go along with brunch (watermelon mint juice or matcha lemonade!).The outside patio/eating area is the cutest with umbrellas hanging from a string above. Very cute way to get some shade from the sun in the spring/summer.This restaurant mostly serves vegetarian/gluten-free options!",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
28,cDW7Ro8M4QKKiZNbW-zW8Q,Marie B.,2.0 star rating,"We had brunch here recently, and while the food was great, the atmosphere was really challenging. The music was SO loud. We could almost manage to hear each other, but there is a very loud blender they kept using, too. We really only were able to hear every 5th word or so that the others were saying at our table. Finally we gave up, we ate and left. SUCH a shame, since this place is SO cute. I'm not sure we'll be back.",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
29,y_LETSyVwMVKbMSHwHDioQ,Erin A.,4.0 star rating,"Found this lovely establishment on yelp. My friends and I wanted to do a nice brunch here on Sunday. I called ahead to see if I could make a reservation but they said they only make reservations for 5 or more.Parking wasn't too bad, it's in a sort of residential area. All of the tables were taken when we got there, so we sat on the couches and ordered coffee. We waited for about 10-15 minutes for a table outside to clear. The wait is kind of long for drinks. They even forgot my friends coffee at one point, but they apologized. I love that they have vegan options there, you don't see that a lot.I ordered the tofu scramble and had an iced coffee. 4 friends split the bill and it was only 15 each. The tofu scramble was very tasty and flavorful. It has roast potatoes, greens, and toast that came along with it. I would definietly go again. The staff was really nice and the outside seating was wonderful.",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
30,k8ToEsaJuHbT-fGtFhpzKw,Bryan C.,4.0 star rating,My walk brought me to the congress st station so decided to go up the cliff to try out Cliffs.   You might  miss this place as does not look like much.  There is more seating out back which on a nice day is the perfect place to get some brunch.  The do not have alcohol but do have virgin versions of brunch cocktails so need to bring a nip to make a real blood Mary.Service gets 5 stars based on willingness to add mint to lemonade. Not sure why not on menu as put mint in watermelon and have the lemonade.  It would be better if mint allowed to steep in.The French toast looked amazing but like most thick cut toast was a bit dry. I wish the bread was half as thick and got 4 slices.  Also could use less marscapone and more syrup.  Fruit tasted fresh. Food gets 3.On a sunny day this place gets 5 star as perfect backyard.  The main part is very cute as got all the requisite cute cafe coffee shop look.,The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
31,ZZELut-m0rSyivf8saCMKA,Mark S.,4.0 star rating,"Weekend brunch review.....This was actually my second visit after having been here last weekend.  It is a vegan/vegetarian place but you will never miss the meat.  Their dishes will tempt any person's appetite and the flavors are on point.  They opened a couple of months ago and the outdoor patio, although quaint, was pretty full on a dreary day. For drinks we each had the iced coffee, with myself requesting and getting a shot of espresso added.  The Mrs. had the omelette special which consisted of tomato, basil and mozzarella. It was accompanied by roasted potatoes, a refreshing arugula and whole grain toast.  I in turn enjoyed what I had last weekend so much that I ordered it again, the Acai bowl.  It was served with plenty of fresh fruit, bee pollen and chia seeds.  I kept getting brain freeze eating it so fast. Look, if you want to break up the monotony that can be weekend brunch, The Cliff is like a breath of fresh air with their menu. That is coming from someone who is a carnivore and throughly enjoys weekend brunch. Welcome to the Heights.",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
32,Ralo7wlSbCF5IM3Z46y8PA,Yeraldine S.,4.0 star rating,"#TheCliff is a new addition to the heights. I was able to stop by with some of my favorite Yelpers for a Saturday brunch. We all were very pleased with our experience.The place has a few tables but the environment is inviting and cozy. They also have a back patio area that we weren't able to sit in because of the weather (boo). The brunch menu had some great choices but I decided on the Brioche French Toast topped with mascarpone, almonds, berries. Delicious. A side of scrambled eggs paired perfectly. I ordered an ice latte and it was great. I always feel like I need to go a little further then what I would like to get myself a decent iced latte but seems like The Cliff is a contender to be one of my top choices. I am a bit disappointed that the small latte is $4.00 and if I compare this to my next place- Black Rail, I can get a medium at the same price tag. Gary, the owner, was super friendly and wanted to make sure our experience was a good one. Already planning my next visit!",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
33,BwRj4j0DfnqMGEB2BLgZVQ,Kirti B.,3.0 star rating,"I usually love The Cliff, but I just got one of their carry-out breakfast fried ""tacos"" and it is literally leaking oil... I can't give it less stars even though I desperately want to because their regular menu items are pretty spot on delicious. I just wish these carry-out items were easier to carry out and didn't leak from the paper bag. I understand it's fried, but I'm sure there's a better way to package this. I feel really uncomfortable eating this dripping in canola oil. Just wish the owners would think about this when putting it on the menu. Despite all that it does taste good, but you have to look past the oily food. I didn't expect it to be honest, and I had oil dripping all over me",The Cliff,4.5 star rating,$$,"Breakfast, &, Brunch,, American, (Traditional),, Scandinavian"
