,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
10,3WwCT1hfXUXBhI2MartStQ,Jalisa J.,5.0 star rating,"I was a skeptic but was PLEASANTLY SURPRISED. We both had the roasted chicken with brown rice, sweet potato. I got caprese as my other side and the fiancé had brussel sprouts which were all amazing. The chicken was not even a little dry and if I'm not mistaken it was brined beforehand. Perfectly seasoned. This was an identitcal version of Digg Inn. Huge competition for them.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
11,WmcKOpvOu5qoyaJdt3ivzQ,lars r.,5.0 star rating,"Wow best lunch spot ever. Super fresh and tasty, and in addition very healthy. I need need Tom where more often, the chicken and tofu is just outstanding.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
12,QJY4-orTttPyH_Qlzn2QRQ,Vera T.,3.0 star rating,"More like 3.5 starsGreat for quick lunch/dinnerPlace looks clean, they did great job with the decor.Food taste great and healthyThey have chef plate dishes and salads. I tried salad both time I was here.I ordered one of their signature salad, umami crunch. When I got home( I ordered to go) realized they forgot the edamame. Overall it's still good, love the chicken and the wonton strips.You can build your own salad, but plus with the protein and the crunch price can added way up. Really wish that they can added quinoa without charge extra ( sweetgreen spoiled me, I know), here it's extra $1.50Service could be faster, but since they just opened, I think its acceptableWill be back in the day that I'm too tired too cook , their chef plate looks promisingAnd another thing, really don't like their packaging, two times I order to go, they both spilled, hope they fixed/change this lid container in the future",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
13,FniXpErdQGfzxG4B-74dRw,Samantha D.,4.0 star rating,"4.5! Very very happy with this new addition to Hoboken! When I saw this place was opening I was excited as it is similar to Mulberry & Vine by my office in TriBeCa. Also the salmon plate for under $15 seemed like a great price to me as I don't normally eat fish due to the cost. So I got the salmon chef plate which comes with rice and as my two sides I got sweet potatoes and zucchini. Everything was SO good especially salmon and sweet potatoes. I'm spoiled by my moms salmon cooking with the crispy skin but she's not cooking for the masses. Anyways very happy and can't wait to try other options! The salads do seem overpriced but that's just me, I won't pay a lot for lettuce.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
14,IdtEdJlKsqNG_bsDDC_9dA,Erik B.,3.0 star rating,"Food is always good. Love their customs salads and all the options. Why am I giving them 3 stars? Because their service is terrible. Every single employee looks like they hate their lives there. Not a single smile, not a single thank you, just throw your food in front of you and move on. Customer service goes a long way. If they don't want to work then don't work. Change up the employees because that experience I had sucked.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
15,VdwsBfxuBAnfavac0akKsQ,Tony R.,5.0 star rating,"Walked by this joint the other day. Brand New and my wife and I checked it out. At first I thought, ""Another salad place, okay"" But then I discovered their Chef's Plates. Pick a grilled protein (Steak, Salmon, Tofu, Chicken) and then pick amongst two of their really flavorful sides. Personal favorites include the Sriracha Brussel Sprouts and Curry Cauliflower. You also get a choice if you want it over rice and Quinoa. I've now been there twice in the same week because I found myself enjoying it that much. I've tried both the Salmon (get the tzatziki on top) and the Steak (with the horseradish sauce on the side)  and both times I've been both full and pleasantly surprised on how flavorful everything is. It's a little on the more pricey side, expect it to be around $15-$20 per person with a drink but it's a really good meal. My wife and I both had a meal and a drink for around $35.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
16,5rL4OuhdE_ybWSzCvTWOPA,Rosie C.,5.0 star rating,"I'm coming out of Yelp retirement to share how much I have enjoyed my experiences at Quality Greens. I've had both dine-in and takeout, and all of the food I've had has been fresh and delicious--especially the salmon with tzatziki sauce and the maple sriracha brussel sprouts. It's shocking that the quality is so good for the price. Plenty of stroller room, so it's a very mom-friendly place to go. I was a little disappointed by the lack of a changing station at my first visit, but I sent an email, got a speedy response, and the management has already installed a sturdy changing table in the bathroom. Hooray! Totally great for little ones (and their moms).And I just realized they have delivery! Looks like they'll be collecting more of my money soon...",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
17,6HN77IiCHKf-ZbWUK-C_uQ,Bora G.,2.0 star rating,"Could be way better after coming here 3 times....Visits:1. Wasn't memorable2. Mac and cheese was way too salty, almost inedible3. Umami crunch salad was either under dressed or not dressed at all, can't really tell.. probably easier if they let people see how much dressing they're applying and tell them ""when"" than the whole light,medium, heavy question...Healthy options are limited but I hope this place improves.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
18,sgygc9jhLTkKsma-AD6BsQ,Sam L.,2.0 star rating,"This is the third time my wife and I orderd from Quality Greens, a healthy option we have been excited about. However, each time we have ordered from here, something was left out of our salads. When you're starving and recieve your delivery that you have been so ready for, only to find that its missing an item, its not likely you feel like waiting another 20+ mins for your last ingredient. This time (tonight) my wife ordered the goat cheese salad with a side of chicken. There were only 3 pieces of chicken, which I understand when restaurants are stingy with the avocado, but chicken???? There also was no goat cheese (the main attraction, i.e Goat Cheese Salad). Is the food tasty? Yes. Are the people nice when we have called in the past? Yes. But unfortunately it seems that we can't rely on them to deliver our meal completed. Typically I don't like to complain, but this time given my wifes dissapointment I felt compelled to do so.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
19,uA8Q6KXNaPZMR2-wFXqEww,Andrea G.,5.0 star rating,"This place is great for vegetarians and vegans! I can be picky when it comes to tofu, but the tofu here is spot on - especially topped with that delicious maple sriracha sauce. Though I cannot yet vouch for the salads, the chefs plate is delicious. Warm roasted veggies and tofu on top of a bed of quinoa - mmm mmm! I'll be back.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
20,o-09ce4KUCi8AMLl65Vhhg,Kate B.,5.0 star rating,"OK giving this gem 5 starts because PRAISE GODNEY, Hoboken finally has solid, custom, quality salad options. For a short period I actually worked AND lived in Hoboken and lunch was always a struggle - good salads were often overpriced and not at all what I was used to having had access to Chop't, Sweetgreen, and Just Salad in the city.I thought about giving 4 stars because despite having 10+ people working at any one time, as the only person in the store I will sometimes wait over 10 minutes before I can even place my order, but I think it's worth it. I've learned to order ahead for pickup using GrubHub on my walk from the PATH home.My go to - salmon market plate w/ brown rice, roasted sweet potato, and maple sriracha brussels (I now have found a hack to make this at home - soOoOo delish) + side tzatziki and sriracha.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
21,kCF1JTsTUdz5f12e6eo9Ag,Grace S.,4.0 star rating,"Huge fan of this Quality Greens! Felt like good, fresh and healthy options were lacking on Washington St. and I was pleasantly surprised to see this Dig Inn-type fast casual spot open up. The inside is very spacious and immaculate with ample seating for in-store dining. They're open seven days a week and do delivery via Seamless, and market themselves on their ""craft salads, quality meats and creative vegetable dishes."" If those are their key messages, then they're hitting all of them! They also are very vegan, vegetarian and gluten-free friendly to all my health bunnies out there. Also, they serve Chloe's soft serve fruit ice cream!! They have an array of salad options from SIGNATURE SALADS ranging from $8.99 to $13.50, and CUSTOM SALADS, which start at a base price of $7. Notably, there is a CHEF'S PLATE, which I ordered, and it is most similar to a Dig Inn-style platter. It includes a protein and two sides - I ordered the wild sushi-grade SALMON ($13.50) which came with a delicious tzatziki sauce, as well as a HALF AVOCADO and MAPLE-SRIRACHA BRUSSELS SPROUTS. The Brussels sprouts were unique and delicious, sweet with a little bit of a kick, but not too spicy. I also ordered a side of the MAC & CHEESE, which was tasty and creamy - loved the combination of the bechamel, cheddar, swiss and parm cheeses. My whole meal came out to about a little less than $15, which is pretty pricey for lunch, but the quality and taste of the food made it worth it.Everyone working had a great attitude and was very responsive to all the questions I had. Even though I do wish it was a little cheaper, I highly recommend this spot and will be returning.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
22,3vsa-w6LBDRtW-MgRo4x-g,Anagha N.,5.0 star rating,"For whatever reason, I can't leave this review on Seamless so am leaving it on Yelp. I rarely review any business, positively or negatively, but wanted to share some great customer service. I placed an online order with them but never received it. They actually reached out to verify whether I had received my order because they weren't sure it had been delivered. It hadn't, so they apologized and sent it out for free even though I had already been refunded by Seamless. This was without me even asking and I'm also not a frequent orderer from there since I had only ordered once before. I was a bit hangry when they called but the owner seemed really committed to ""making it right"" even after I told him I had zero plans to leave a negative online review. Oh and the food is legit delicious. Historically I have stopped after work at SweetGreen to pick up a salad, but Quality Inn's salmon is tastier than sg's trout + it's on my way home. I'm going to split my business from now on. The prices are in line with what I have paid at Dig Inn and sweetgreen. It is expensive to order but that's the case in Hoboken as a whole and has nothing to do with this restaurant in particular. I find that the serving sizes on the salads at Quality Greens to be very generous and can be split over two meals (for me). Overall a nice business that I plan to support.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
23,1JDxaio4xWG1sa71GJKHsw,Evan M.,4.0 star rating,"Finally had a chance to check out this new Hoboken spot.  Quality Greens Kitchen offers lunch and dinner, from salads to full meal plates.The restaurant is very large with lofted ceilings. There are about 30 tables comfortably spaced. Seriously, they could have squeezed in another twenty tables, so if you go on the off hours, it's about as relaxed a casual dining set up as you'll get.  It's a cafeteria line set up and you can see everything going on in the kitchen. The offerings are basically two categories. First, salads that start at $7 with a wide variety of included toppings and extra-cost options. The other, a Chef's Plate consisting of a protein, rice or quinoa, and two sides and starts at $11.50.  I went for the Chef's plate with salmon ($13.50), brown rice, brussel sprouts, and mac&cheese (I know, cheater!).  The salmon was a modest portion, about 1/4 lb, skin-on filet that was cooked nicely. I'm glad I got the tztaziki on the side because I didn't care for it. The brussel sprouts were excellent, roasted and charred with a splash of sweet and spice. The mac & cheese was good but needed a little salt and pepper to pick it up.  The brown rice was cooked perfect. The lemon juice soda for $2.50, well, I know it's a healthy place, but honestly a Diet Coke would have been just fine. About $17 for everything.I have to also mention the nice staff, efficient and courteous.  I'd say I had a good first visit, 3 1/2-4 stars and I look forward to trying a few different dishes and updating the review.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
24,k6vG6D_q8576ZZ1nZpG0Sw,Gui Bin Z.,4.0 star rating,"Quality greens is a great addition to Washington St. The concept is like if dig inn and sweet green met and had a baby it would be quality greens. The food quality is great, the staff are super nice and it's really healthy. I've only been a couple of times but my boyfriend goes a lot more. He mentioned that once while he was waiting for more salmon they overcooked their newest batch (which we have all done before) and apologized and asked if he wanted to wait for another batch or get something else. I've definitely been to restaurants where they'll just serve you the overcooked salmon so this is a sign of how much they believe in quality. My go to is their salmon chef plate with mixed greens and two sides. The portions are good and I'm not left hungry like I am at dig inn.The place is also always clean. Check them out if you haven't already.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
25,3MsvlOQJp7pWxOkBzjUe7A,Thea Z.,5.0 star rating,"YES! Welcome to Hoboken friends! What a delightful dining experience. Fast, fresh food served up with a smile and good attitudes. There are few other places like this in Hoboken, especially for that lunchtime salad desire. They have something for everyone and play to all different dietary needs.You do need to be prepared to spend a little more than planned for food there, but you are investing in your health and tastebuds for sure. As much as I liked the food (got a chef plate), I think I liked the personalities of the folks working there even better. Even the cashier told me to get home safe as I grabbed my ""to-go"" bag. Thanks for being so kind! More people should be like that. Can't wait to go back!",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
26,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,4.0 star rating,with the health crazed society we have right now this is a perfect place.In my opinion a meal where you only eat salad is a wasted meal but thats just me. I came here with my wife since she loves it and i figured to give it a fair chance.I like how it is quick service and the employees were very helpful. This location is big so you have plenty of room to sit and eat without  being on top of other customers.The salad with salmon was pretty good. It is fresh and a decent size.  It is not my thing but i can see why people love it.If you are on a health kick try it out. Solid place,Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
27,5aZX8bTiD0k9vR60SG588Q,Alison C.,4.0 star rating,"We were in search of some quick takeout for an enjoyable evening of dinner and movies, when I instantly thought of the new Quality Greens Kitchen.  I had walked into the restaurant just after it had opened in order to grab a menu.  I was thrilled to see that they had been focused on healthy ingredients and superior meats, making me eager to try it.  So, this was the perfect occasion.  While my friend built his own salad, I wanted a warmer option to soothe me on that cold evening, so I decided to build a Chef's Plate instead.  Each platter started with a choice of brown rice, quinoa, or greens.  I decided to use a mix of quinoa and kale for my base.  I then opted to skip the protein and do a Vegetable Trio, for which I selected three warm sides.  The Roasted Sweet Potatoes were cubed and dressed in a spiced olive oil that seemed like it had been infused with what might have been paprika.  The Brussels Sprouts had been marinated in a house-made maple Sriracha dressing and baked to a crispy brown.  The Roasted Curry Cauliflower florets had been tossed with chickpeas for added texture.  All three vegetable varieties were nutritious and flavorful, each with their own balance of sweet and spicy flavors.  The brussels were a bit oily, but were terrific regardless.In fact, I enjoyed my satisfying meal so much that I revisited for lunch only a few days later, ordering almost exactly the same meal, but selecting all greens instead of incorporating quinoa.  Quality Greens Kitchen offered a quick and healthy addition to the neighborhood, catering to both the local college students and the mature diners trying to maintain their fit lifestyles.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
28,rtutvd3tizFhwpvXvMPqYw,K C.,5.0 star rating,"My son 9 years old had built his own bowl with Arugula, chickpeas, black beans, corn, raw mushroom, wonton strips and roasted chicken. And he loved it!! I have the salmon quinoa bowl and plenties of vegetables. My husband had the kale caesar salad. It was all wonderful. As I always teach my kids ""Eat the Rainbow!!"" This is definitely the place!!! All the veggies are fresh!! The only thing I would say is I hope the quinoa would be cooked with less salt. Otherwise, all healthy choices, place is clean, service is excellent!! People who serves there all wear a beautiful smile!! My daughter loves watching them cutting the fresh veggies through the glass window too!!",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
29,m06lk5kybC2XcAHvHPhAtg,Katherine A.,5.0 star rating,I really enjoy the salad selections from this place. I also really like their warm options. This is a perfect choice for when you don't have the time or feel like cooking something healthy. Thanks for being open till 10 ish and the staff are extremely friendly! The salmon is very delicious,Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
30,3WwCT1hfXUXBhI2MartStQ,Jalisa J.,5.0 star rating,"I was a skeptic but was PLEASANTLY SURPRISED. We both had the roasted chicken with brown rice, sweet potato. I got caprese as my other side and the fiancé had brussel sprouts which were all amazing. The chicken was not even a little dry and if I'm not mistaken it was brined beforehand. Perfectly seasoned. This was an identitcal version of Digg Inn. Huge competition for them.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
31,WmcKOpvOu5qoyaJdt3ivzQ,lars r.,5.0 star rating,"Wow best lunch spot ever. Super fresh and tasty, and in addition very healthy. I need need Tom where more often, the chicken and tofu is just outstanding.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
32,QJY4-orTttPyH_Qlzn2QRQ,Vera T.,3.0 star rating,"More like 3.5 starsGreat for quick lunch/dinnerPlace looks clean, they did great job with the decor.Food taste great and healthyThey have chef plate dishes and salads. I tried salad both time I was here.I ordered one of their signature salad, umami crunch. When I got home( I ordered to go) realized they forgot the edamame. Overall it's still good, love the chicken and the wonton strips.You can build your own salad, but plus with the protein and the crunch price can added way up. Really wish that they can added quinoa without charge extra ( sweetgreen spoiled me, I know), here it's extra $1.50Service could be faster, but since they just opened, I think its acceptableWill be back in the day that I'm too tired too cook , their chef plate looks promisingAnd another thing, really don't like their packaging, two times I order to go, they both spilled, hope they fixed/change this lid container in the future",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
33,FniXpErdQGfzxG4B-74dRw,Samantha D.,4.0 star rating,"4.5! Very very happy with this new addition to Hoboken! When I saw this place was opening I was excited as it is similar to Mulberry & Vine by my office in TriBeCa. Also the salmon plate for under $15 seemed like a great price to me as I don't normally eat fish due to the cost. So I got the salmon chef plate which comes with rice and as my two sides I got sweet potatoes and zucchini. Everything was SO good especially salmon and sweet potatoes. I'm spoiled by my moms salmon cooking with the crispy skin but she's not cooking for the masses. Anyways very happy and can't wait to try other options! The salads do seem overpriced but that's just me, I won't pay a lot for lettuce.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
34,IdtEdJlKsqNG_bsDDC_9dA,Erik B.,3.0 star rating,"Food is always good. Love their customs salads and all the options. Why am I giving them 3 stars? Because their service is terrible. Every single employee looks like they hate their lives there. Not a single smile, not a single thank you, just throw your food in front of you and move on. Customer service goes a long way. If they don't want to work then don't work. Change up the employees because that experience I had sucked.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
35,VdwsBfxuBAnfavac0akKsQ,Tony R.,5.0 star rating,"Walked by this joint the other day. Brand New and my wife and I checked it out. At first I thought, ""Another salad place, okay"" But then I discovered their Chef's Plates. Pick a grilled protein (Steak, Salmon, Tofu, Chicken) and then pick amongst two of their really flavorful sides. Personal favorites include the Sriracha Brussel Sprouts and Curry Cauliflower. You also get a choice if you want it over rice and Quinoa. I've now been there twice in the same week because I found myself enjoying it that much. I've tried both the Salmon (get the tzatziki on top) and the Steak (with the horseradish sauce on the side)  and both times I've been both full and pleasantly surprised on how flavorful everything is. It's a little on the more pricey side, expect it to be around $15-$20 per person with a drink but it's a really good meal. My wife and I both had a meal and a drink for around $35.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
36,5rL4OuhdE_ybWSzCvTWOPA,Rosie C.,5.0 star rating,"I'm coming out of Yelp retirement to share how much I have enjoyed my experiences at Quality Greens. I've had both dine-in and takeout, and all of the food I've had has been fresh and delicious--especially the salmon with tzatziki sauce and the maple sriracha brussel sprouts. It's shocking that the quality is so good for the price. Plenty of stroller room, so it's a very mom-friendly place to go. I was a little disappointed by the lack of a changing station at my first visit, but I sent an email, got a speedy response, and the management has already installed a sturdy changing table in the bathroom. Hooray! Totally great for little ones (and their moms).And I just realized they have delivery! Looks like they'll be collecting more of my money soon...",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
37,6HN77IiCHKf-ZbWUK-C_uQ,Bora G.,2.0 star rating,"Could be way better after coming here 3 times....Visits:1. Wasn't memorable2. Mac and cheese was way too salty, almost inedible3. Umami crunch salad was either under dressed or not dressed at all, can't really tell.. probably easier if they let people see how much dressing they're applying and tell them ""when"" than the whole light,medium, heavy question...Healthy options are limited but I hope this place improves.",Quality Greens Kitchen,4.5 star rating,$$,"American, (New),, Salad,, Gluten-Free"
