,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,z7dilHN7EWd3l2gTvdbdCA,Carlos D.,4.0 star rating,I am so happy that it was my first time trying out their classic burger! And I may say it was phenomenal. The fries were a little cold but it was no big deal. I had one big issue which was the temperature in the building. Downstairs it seemed pretty good but when I got upstairs I could not stop sweating! It was incredibly hot upstairs. Including the small space we chose and the little tiny chairs the heat of the upstairs made it very uncomfortable. Thank you for the amazing food,The Spotted Pig,3.5 star rating,$$$,"Burgers,, Gastropubs"
1,Iyxl0zXYwHH-_jEwo1pgbg,Chris M.,5.0 star rating,"Went for brunch on Saturday before Easter- we got lucky and were able to get a table. We started with excellent bloody Mary's and some deviled eggs- both were very good. Very main course I had pig's cheek hash with poached eggs- it was very good- eggs were cooked perfectly and the hash was tasty. My friends got the burger w shoe string fries- they said it was real good. It def was big and juicy, and cooked perfectly. Food and service were both very good. It is tight in there and it can get very crowded. Food and Drinks were all very good.",The Spotted Pig,3.5 star rating,$$$,"Burgers,, Gastropubs"
2,jwY4FQ5UBNlMU-qBcKJ9Yg,Damian W.,4.0 star rating,"Food: 4.0/5.0Service: 2.5/5.0Value: 2.5/5.0Decor: 3.0/5.0Overall: 4.0/5.0Very good burger though I'd personally go lighter on the rocquefort.  Burger-only pricing is a tad on the steeper side, but the shoestring fries go separately at $10 so maybe SOTP says value is ok.  Plenty of places to hang around the area while waiting for your table.  The inside is real cozy, even the second floor.",The Spotted Pig,3.5 star rating,$$$,"Burgers,, Gastropubs"
3,IVYnHsB6y-tUNXxdp0dcIQ,Melanie Z.,4.0 star rating,It is definitely different without your classic lettuce and tomatoes. I would admit it might not be for everyone. My friend hated it but I loved it. It was meaty and juicy just what I needed. I am also a huge fan of shoestring fries. You should definitely try this place if you're tired of regular burgers with regular fries.,The Spotted Pig,3.5 star rating,$$$,"Burgers,, Gastropubs"
4,F1tGD2s3FoPxHfiorlVDVg,Joyce C.,3.0 star rating,"I've heard about the Spotted Pig for years and finally got to go this past weekend for brunch. The food was definitely delicious, but nothing eye opening like its price point suggests. For value, I've been to better restaurants. I ordered the **Sizzling Sisig** ($17) their take on a Filipino classic. The richness of the pork fat was balanced by the tangy sours marination. It wasn't the best sisig that I've had, and for the price point of $17 (sisig usually goes for much much less), I was a disappointed. My friend had the **Two Poached Eggs and Pork Hash** ($18). The hash had an underlying sweetness which was great with its general meatiness, but again, not novel enough to justify the price tag. The staff was very kind, not only were we seated immediately but they were very accommodating in the small space.  The aesthetic of the restaurant was definitely cozy and bed-and-breakfast-in-the-countryside-y.  I'm glad I came here because I've heard so much about it, but alas, it was not a value experience that I would repeat again.",The Spotted Pig,3.5 star rating,$$$,"Burgers,, Gastropubs"
5,-SvBZOeRr-TuhWHOeeXWCg,ToniAnn D.,4.0 star rating,"Not a bad spot! Totally hippy and cozy inside, and friendly service. It's pricey, but so is everything in west village. I ordered the burger and it was amazing. Thick and tender! It came with these very thin fries too, which were addicting. The specials list was pretty awesome and the menu was good, but limited for lunch. They had some fish options, meat, salad, and soup. Good quality food for sure! Nice spot to hang out for a bite .",The Spotted Pig,3.5 star rating,$$$,"Burgers,, Gastropubs"
6,-ko5p0QRm2-tKtMK4rhqew,Rocky H.,4.0 star rating,"The Spotted Pig was Good. Went on a Sunday evening @ 6 for dinner had a queue with a 3.5 hours wait. With such a long  wait time, we figure we would have a little more time to get back to the restaurant.  Little did we know we came back and our table was given up. Irritating but understandable.  So we gave it another try the following day for lunch services, went with their famous burger and fries. The burger we decadent and rich, shoestring fries was on point, perfectly salted and fried with herbs and garlic.  Somewhat overrated but a must try if time permits. Daily Special: Speck Charcuterie",The Spotted Pig,3.5 star rating,$$$,"Burgers,, Gastropubs"
7,T5wZ4wsDCBv0O0He_VcONQ,Niv P.,4.0 star rating,Came here for lunch with a couple of friends and we were seated promptly. The food was very good except that there was way too much Roquefort cheese in the burger. The portions are big but found it to be a little on the pricier side. We did not have any other problems with our order or the service.,The Spotted Pig,3.5 star rating,$$$,"Burgers,, Gastropubs"
8,pBrC08aM-pkqEVjIluBNjA,Emily M.,3.0 star rating,"I think this place is very overrated. The food was fine, but there was nothing that felt special or worth the insane waiting time. Their website says they open at 5:30 so we arrived at 5:37 thinking the wait would be quick, but it was still an hour for two people. There are about 10-15 tables which is why it takes so long to be seated, but the wait for food was also crazy. We were seated in front of the open kitchen door, with glaring fluorescent lights in our face and people constantly brushing up against us. The cocktails were fine, but tasted like juice nothing more. We ordered the gnudi, cockle special and the burger. After waiting almost an hour for the appetizers we were sent almonds as an apology for the wait. The gnudi was a good texture but very salty. After almost two hours the burger came out. It was cooked perfectly but again was very salty with nothing to cut the richness of the overpowering salty Roquefort. Overall the food was good, but definitely not worth the wait or environment.",The Spotted Pig,3.5 star rating,$$$,"Burgers,, Gastropubs"
9,nIPo90R4PBT-L5vD8fdbkw,Joya S.,3.0 star rating,"Came here for late night dinner with girlfriends. Service was horrible, waited 40 mins for food (appetizers didn't even come). We had to remind them since they apparently forgot we ordered.For apps we had the burrata which was amazing with prosciutto and arugula. The ricotta was just ok, too salty. Brussel sprouts were a disappointment, too soggy.  The snapper was very good and we had it as an entree. However, the low rating is due to poor service and generally average food",The Spotted Pig,3.5 star rating,$$$,"Burgers,, Gastropubs"
