,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
21,ezj23oiJeTggpOIrox-Ssg,Tiffany D.,4.0 star rating,"Cozy and glowing with charm!  Lola delights on tapa dishes and ambiance!  Barrels are used as the tables and it adds a unique style to dining.I was craving Paellas and opted for their Seafood Paella!  The flavor of the seafood and Spanish rice being well cooked, was comfort to the soul and hit the spot on my Paella level! We ordered up other tapas like the sausage and grilled pulpo!  I like the perfect crunch to my grilled pulpo as it was nicely drizzled with oil and dressing! Sausage plate was okay - noting, a typical fajita with grilled bell peppers in the mix.I like how they offered amuse bouche in the beginning.  It warmed up my liking to the whole experience.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
22,QXmiDiWdRfzu_jiz0CSVBw,Aaron W.,4.0 star rating,"This place is such a anomaly in Hoboken.  Inside, it feels like you are no longer in Hoboken.  I liked the decor.  It is old Spanish style, but I hated the tables.  They have barrels for the stands which means it is very big.  It is not the most comfortable to find a place to put your legs.  I guess it does add the to atmosphere. The service was great.  It seemed like we didn't have one waiter, but everyone just helped out.  I think it is a great system.  If they see something in need, they helped out.  They kept the water filled and bread in the basket.The food was really good.  All the seafood dishes we had were great.  The shrimps and the fish dishes were the best.  I would just stick to seafood there.  If you get a steak dish, stick to the skirt steaks.  They were seasoned very well and were tasty.  The filet mignons were meh.The food is tapas which I believe is difficult for Americans.  I do think this place is expensive.  We had 7 tapas for 4 people and it wasn't quite enough.  We were satisfied, but not full.  I try not to eat like an American, but it is hard.  If you are a big eater and starving, do not come here.  If you want a different experience from most of the Hoboken restaurants, then come and try it out.  The food and service was great and I would definitely recommend coming here.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
23,o4RCwWRmG3OoFtDa8pVhXA,Emily G.,1.0 star rating,"If there was a way to give this restaurant 0 stars, I would have gladly given it that. My experience at Lola's was embarrassing and horrific. My girlfriend and I went out for a night in Hoboken and stumbled across Lola's. We decided to give it a shot.  We sat at the bar. Keep in mind, there was only one other table besides us in the restaurant. My girlfriend leaned in for a kiss and put her hand on my lap. Moments after, we were disrespectfully screamed by the owner. He said that we needed to stop this ""behavior"" because there are other tables in the restaurant who feel uncomfortable.  It was clear that his intentions were discriminatory. It was embarrassing as we felt judged by everyone in the restaurant. All eyes were on us. Not something I would expect in Hoboken in 2017. They will no longer be receiving our business.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
24,ornb1UYCzFd2u9Y_ldGvPA,Nicole R.,3.0 star rating,"My second return to Lola's wasn't as satisfying as my first. Deciding to have a night out with the girls at Lola's quickly turned into ""hurry up and get the bill"" type of situation. The pitcher of sangria ($30) was so watery. You could not taste anything close to what a sangria should taste like. In fact we ordered the red and it looked pink. Very disappointing. For my dish I asked if I could have the Paella Valencia and if they could substitute the sausage for chicken as previously done. My waiter quickly said no that it couldn't be done. Even after I explained and showed pictures how they kindly made the change for me on my previous visit. The answer was still no. Lola's was supposed to be an evening of great sangria and a taste of food from Spain but in the end all that was given was weak sangria, ok food, and not the greatest service.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
25,jllMv1H-66WRgpEb7OVnEg,Zander L.,5.0 star rating,"I enjoyed eating here, the food was good especially the tapas menu items. The avacado lobster was so delicious. The drinks were perfect, the deserts were delicious. Didn't enjoy the paella as much as i did the other food it was a little salty. The live music was wonderful and set the mood. Overall a good experience I will be back.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
26,WQGGhXr0MQO4kmPkrZpq6g,Daniel B.,2.0 star rating,"Came to Lola's several times when it first opened but that was years ago now.  Was in the mood for Tapas and it's close to home so was time for a revisit.  First off, it's cute inside.  Definitely can be a date place and roomy enough for a group of friends.   The downstairs area is also good for a group or can host a private party.   Now if only the food and service were as good.  In fairness, the bus boys were good but the waiter was really bad and the food not much better.   -clams were nice and plump.  In butter sauce so hard to go wrong there. -raxo (Pork loin w fig) was ok. Not bad but nothing special-squid w blank ink rice is one of my favorite dishes but was just ok here.  -octopus was rubbery and the sauce that came with it wasn't very good. Also not a good value at $16.  Essentially, everything was passable but nothing memorable.   There wasn't a single dish that I was like damn, we have to come back here for that.    Throw in the mediocre sangria and service and the prices being a coupe of bucks more than it should per tapa, and this isn't a recipe for a repeat visit.  On the plus side, I did see a sign of they have happy hour M-R till 11pm.  Hard to argue w HH till 11pm, even a mediocre one.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
27,OKKjLcTmaICFWuXTgJL2yQ,Lorena S.,5.0 star rating,"The food here was exquisite.  Tapas menu is perfect and the wine selection is on point.   The avocado salad with crap and shrimp is to die for and the angel hair pasta with shrimp is seasoned to perfection.  The cappuccino is served in a wine glass and perfect for sipping on their little outdoor area.  They also had live entertainment which was pretty loud indoors, but sitting outside was a perfect option.Definitely recommend and Israel or Izzy for short was amazing on the service!!!",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
28,lYhZgAkhO4rJ1g2URt98kw,Dayana S.,5.0 star rating,This is my absolute favorite place to come eat some clams ! I love how cute this place is! Great service! I try to come here every other weekend  ! Highly recommend this place to any couple who wants to go on a date or meet up with a friend ! Super cute !!!!! And I am a tough critic but I give this place a thumbs up!!,Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
29,OLuar_HGSTvZdkAOYVJcHQ,David C.,4.0 star rating,"Lola's is a solid tapas joint with a pretty tasty Red Sangria mix. The place is spacious inside and boasts a cool outdoor space. Me and my fellow foodies ordered so much food that the old waiter told us we were too greedy. I enjoyed the grilled octopus, lobster ravioli, shrimp in garlic sauce, avocado and apple salad and mussels. We also ordered the filet mignon bites but they were under seasoned and a bit over cooked. All in all a good night. Nice friendly atmosphere and good portions that don't leave you hungry or holding back a huge gut.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
30,MKx5T02JssBYJlqHj1Yw2A,Marianne M.,5.0 star rating,This is my favorite Tapa's restaurant in all of Hoboken.  I have visited about 4-5 times and each time has been fantastic. The food is authentic and delicious. The offer a great happy hour every night with an extra discount on the Tapas.  And you can't forget about the Sangria!!! They have a list of different house made sangrias.  The service is always wonderful and very attentive.  The decor is beautiful.  It feels like you just walked into the Spanish countryside.  I can't say enough good things about this establishment.  WELL DONE!,Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
31,io6Vo-1NPo0PJALWT2LUvA,Hugo S.,5.0 star rating,"WHAT A GEM!!! great place in old Hoboken, best Tapas around by far.. from today on it will be one of my favorites spots.. great food great service , i love how they accommodate my 6 yo daughter...Go there you will not regret.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
32,iflJUh864dTP1YHA8PE5CA,Shai D.,5.0 star rating,This place is my favorite tapas spot! I have been here many times and every time it's amazing. The avocado stuffed with lobster meat and shrimp is the best. Anything here is great and I love the ambiance! Definitely recommend!,Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
33,MUfaaTXWfJqa3xKLAAr4tA,Kelly B.,5.0 star rating,Lolas is one of our favorite spots. The mussels are amazing!!! They have great tapas specials. Staff is always friendly.,Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
34,aH3xyex1WIdjyfWnhWcQUw,Ev R.,5.0 star rating,"Nice, friendly place with delicious food and drinks! I loved service and complementary little things they give you before you order and after you're done with your food! Awesome!",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
35,VBZBwhxrTEGFtOjfGTJjKg,Robert H.,2.0 star rating,The White Sangria and decor was very nice. We had 5 Tapas dishes and the steak was good. Had much better octopus and shrimp dishes. Same with pork. We know others who had better luck.,Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
36,6QxIW4P0GsOodae3_KAn0Q,Lauren D.,4.0 star rating,"This is definitely a hidden gem in Hoboken. My roommate and I were strolling through Hoboken and came across this place and decided to go in. There was only one table sitting and another couple at the bar so we were a little nervous but the lack of people definitely did not have anything to do with food. We got two cocktails which were delicious and very cheap. We were brought a small complimentary appetizer and then we went with the croquettes and the mussels, which we both loved. The ambiance is perfect and really comfortable. The only thing is that even though we were the only ones in there, the bartender took a while to take our plates away and bring us the check because he was on his phone. I would love to come back and sit outside when the weather gets warmer.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
37,AoH_dlNkmvLJTVn9LMg76w,Marissa M.,5.0 star rating,"Lola's does tapas for real. They don't play around like some other restaurants. They have a huge selections to choose from.The food is always tasty and prepared well. The bar is a great spot to grab a sangria during HH.Not to mention they have a tapas menu for the bar area, which goes all day.Perfect date night spot. The interior of the restaurant makes you feel like your in Spain. If you like romantic Latin food add it to your Hoboken restaurant list.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
38,pIBT1jDiqJ2BXT04OU9sdQ,Amanda P.,4.0 star rating,"Lola's has earned 4.5 stars for their food as well as their service. We had an excellent waiter who supplied us with extra warm fresh bread. Skirt steak was perfectly cooked and flavorful as were the shrimp in garlic sauce. The only reason Lola's doesn't get a full 5 stars from me is because the sangria was just average. It was good...it was definitely not bad, but when you compared the outstanding cuisine to the sangria, it fell short.  Overall, Lola's is a good spot!",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
39,GAizG-D0Wqs3fjTGUZmDuA,Albert B.,5.0 star rating,"This is a wonderful restaurant with a beautiful ambience and attentive staff. The menu can be a bit overwhelming on your first visit, but you cannot go wrong with any of their dishes. They are each presented beautifully, and the combination of flavors created by the chef are magnificent. The cocktails and sangrias are equally impressive.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
40,M5mZC28xZ6DcQ_tk88RJbA,Martina M.,1.0 star rating,Wish I could give 0 stars. Disgusting. 2017 and my friends got discriminated against because they are part of the LGBT community. Absolutely disgusting. Will NEVER give someone who discriminates against someone my business ever. I hope the owner is ashamed.,Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
41,svFycHjXZYpNVutZ_0_gDQ,Jessica W.,4.0 star rating,"So the food is never exceptional here it is always passable. But this time my service was so exceptional. We sat at a bar table which is really a large barrel with glass on top of it, it lends to the ambiance. We came in looking for a couple small plates and a nice glass of wine. Let me say the pours were awesome, they were large pours and I can appreciate that. Also, our server Saul* ( I may be misspelling ) was the reason our experience was so good. He was on his game, he kept coming over making sure we weren't empty on our glasses. This man gave us fave star service but the food was a 2.5-3. We had the octopus and the avocado stuffed with crab. The octopus had a nice char on the exterior but it was a bit too chewy. It was in a vinegar sauce that was complimentary but could have been executed better. The avocado dish was eh, didn't love the flavor profile. It was under seasoned and felt like imitation crab meat and the shrimp seemed out of place. I wouldn't order that again. Saul really hooked us up and we were in and out in under an hour. We had an early morning and we were just looking for a quick experience.I would come back for the HH specials M-TH and try an assortment of tapas.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
42,zvNa7J5b9qYztqGlea_p1w,Sarah O.,5.0 star rating,It's really not as expensive as you might think. And you get everything you pay for. Great service and quality food and cocktails. And the decor inside is perfect for a date night because it's so romantic inside along with the Spanish music playing in the background,Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
43,5sQQRtkNF3yVGwVlrJxz6w,Lolita M.,5.0 star rating,Very surprised that we had our own little piece of Spain in Hoboken.  Drinks and food were great.,Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
44,CYz5CXiRzrZg5MyAwYTnKg,Jennifer H.,1.0 star rating,"We are new to the neighborhood and we were wandering around on a Sunday afternoon, just checking out what is around. We walked by this place and saw that it was a wine bar, so we thought we'd stop in and have a glass of wine. We went in and asked the old man standing at the front for a wine list. He played ""here you go... just kidding"" with the menu for a minute (pretending to hand it to us but then pulling it back). Once we were handed the menu we noticed it was for food. We again asked if they had a wine list, when the old man said to us ""do you like Italian food? You know they have good Italian food across the street"". He then walked away and we were left standing there looking at each other in disbelief... did he actually just say that to us?! Over all we were disappointed, since we live in the neighborhood we definitely could have become great customers of this establishment... but unfortunately because of this very weird (and a little offensive) experience, we will not be back.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
45,5iENt96N_iKOQb5P0_M9mw,Cassie B.,3.0 star rating,3.5 stars. I loved this place - I have no idea why it was totally empty when we were here for dinner! Tapas style- we shared everything we ordered. The sangria and guac were fantastic. Definitely got a buzz from sharing the pitcher.,Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
46,W94wMccx0R3yr4Zj67rc4w,Yi H.,2.0 star rating,"Lola's, Lola's, I really want to like this place, but just couldn't, they have a very good looking menu, but the food is just disappointing.....I came here about a year ago based on a friend's recommendation. At the time we ordered quite a few tapas dishes, mostly seafood. The shrimp tasted as frozen shrimp, given the price they charge and the portion of the dish, I expect the shrimp to be fresh and good quality, it was totally not the case. We left the place feeling disappointed and didn't think we'd come back again. A year later, we passed by here again and thought we'd give it a second chance, the venue itself is pretty charming and it has a few out door seating tables, so we decided to sit outdoor to try again. But once again, we didn't enjoy the food at all. This time we ordered Seafood Salad, Fresh Tuna in Tomato Source, Rib and Seafood Paella. I ordered the tuna to be rare, it came out medium, it was very chewy and salty. I only had 2 bites and couldn't eat it anymore. The seafood salad was not great, either, it felt the seafood was sitting in the source for way too long, all very soggy. Rib was kinda of ok, the paella probably was the best one out of all, but also very salty.The service was pretty good and friendly, but it really didn't make up for the taste of food.... I am really sorry Lola's, I really wanted to love you!",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
47,wDQpAORlHNC8HFbLJo4uDQ,Wenjing Y.,3.0 star rating,"Came here with a friend for dinner as we both were not hungry and just wanted some small things. The place was quite empty that night maybe because it was during the week. We got half pitch of margaritas which was just ok, felt a bit light. The tapas were quite large in size. I think between the 2 of us, both girls, 3 would've been more than enough. Food was good but not unforgettable. I wish the tapas could be smaller so we can try a bit more variety, which was why we came here...",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
48,b-HpFIzc8smh5lDkJMrz9A,Marah E.,5.0 star rating,"My boyfriend and I kind of fell into this place a couple weeks ago when it was the first freezing cold night and we wanted to enjoy another drink near the other restaurant we were at. You step in and immediately feel like you're in another place - it has a distinct Spanish decor. We grabbed two seats at the bar (it wasn't overly crowded for a Friday night) and asked the bartender for a drink suggestion. We needed up ordering a small carafe of the mango sangria, which was AMAZING. He bartender made it right in front of us, and in total we each had 3 glasses for $19.99 - unbelievably reasonable for Hoboken drink prices. To top it off, the staff brought us complimentary tapas that were delicious! Can't wait to go back and try another flavored sangria.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
49,he7PFemSAn-GOCAZ03jWIw,Kathleen L.,4.0 star rating,"We stumbled on Lola's after today's Hoboken Arts and Music Festival to get out of the heat. Our table of five was seated quickly and the staff could not have been nicer. Sensing we were hot they brought over water immediately. We got a pitcher of white sanrgia it was very tasty. If you closed your eyes you would swear you were in Spain. The decor transported me right back to Madrid. We did not just have one waiter we had two. They kept the water and bread basket full.  We were also served a garlic potato amuse bouche. We tried a few different dishes, Chicken, Beef, Tortilla espanola, Avocado stuffed with crab and lobster and another potato dish. All was great to share and the right amount of food after the festival. One of the older waiters was a real jokester. A taller distinguished gentleman I assume the owner came over to see if we enjoyed our meal. At the end of the meal they brought us some tasty shots with whiskey, cinnamon and milk. Still not sure what I had but it was very good. the restaurant started to get full as we were leaving. I believe this is a hidden gem in the Hoboken dining scene. I would definitely go back.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
50,3S6Agk8LsyKMdvXhy9aFEQ,Therese C.,5.0 star rating,"My family threw my surprise 30th birthday here! Great food, great atmosphere. The downstairs cellar is great for parties or private dinners. Will be back soon!",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
51,NmVXRf1QfD_AwqSKd3BSvQ,Mark B.,5.0 star rating,"This place is one of Hoboken's hidden gems for happy hour. When you sit at the bar (or bar area tables), you are always taken care of with complimentary bread, olives, and delicious fried potatoes. Their happy hour margaritas are great, and their bar tapas are simply excellent and reasonably priced for the quality and portions. I can't speak for the dinner as we've never tried, but I would expect the food to be just as great as the tapas are. Happy to say that this is one of our new regular weeknight spots. Im also surprised to hear about any lack of service as our waiters and servers have always been very friendly and super attentive.",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
52,m12G-ZLzczR6to3k2tDuFQ,Jessica S.,1.0 star rating,"Terrible service, if I could give zero stars I would. Wish Hoboken had decent restaurants",Lola’s,3.5 star rating,$$$,"Spanish,, Tapas, Bars,, Wine, Bars"
