,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
10,fZtSnMecdr8_kuQLhx22xQ,Sneaky B.,1.0 star rating,"WARNING!!! DO NOT think about ORDERING TAKEOUT from Paulie's Brickhouse. For a new restaurant, you'd think they'd want to retain and gain new customers, not turn them away! First off, it took 2 different employees and 10 full minutes for them to take my order over the phone (a Chicken Parm sandwich and Pizza). When I returned home with my order, I sadly realized the sandwich was NOT what I ordered. I clearly stated over the phone that I wanted a Chicken Parm sandwich and what I got was a COLD chicken sandwich with wilted brown lettuce, stringy onions, 2 dots of mayo and floppy-ass bread.  I called and explained the situation and they graciously said they would honor a make-good and make me what I actually ordered. However, five minutes later as I was walking back in the rain to pick up the right order (they wouldn't deliver it), the girl who took my order had the NERVE to call back and proceeded to argue with me over what I ordered. They demanded that I pay full price if I wanted the correct sandwich - another fifteen bucks. I refused. So I am left with no dinner and 15 dollars out of my pocket. Seriously DISGUSTED at this thievery.  The pizza ain't bad but two doors down you can go to Pizza Masters for better food and service.  They were unprofessional, rude and unaccommodating. Customer service was a complete afterthought. You can get better service and hospitality at the McDonalds next door. Please train your staff to treat your customers with respect and keep them coming back. There's a reason why there was only one lonely man sitting at the bar!!!  NOTE:  My initial reaction of walking into the bar was COOL, this is a place I can see myself coming to regularly.  Unfortunately, instead of spreading the good pizza word I will neg this place any chance I get.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
11,iGZ4KHfjLncVMxqGyfW9_g,Susan N.,2.0 star rating,"wow the worst brick oven pizza I ever had... first time I didn't eat pizza leftovers at home. At $14 per personal pie, that was doughy garbage with cheap ingredients... also, if you're going to be unique and offer peas on the pizza - DO NOT use frozen peas - are you kidding ??    And it doesn't smell good like a pizza place, it smells like Home Depot. Waitstaff seems disoriented and disorganized. Feels like a dive bar that serves bar pies. Was not a good new brick oven pizza restaurant as expected/advertised.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
12,LyF0Rnz8slJrqS0957q-aA,Chef Rene H.,5.0 star rating,"I stopped by to say hello to Marlin, who I know for years.  I watch them build this place from the ground up, and now it's is blooming like fresh flowers in the Spring.  GREAT atmosphere, clean, and you can stand in the back and watch your individual pizza being made.  This is not primarily a pizza parlor, but a great neighborhood bar and lounge where you can feel at home.  The best pizza in Jersey City.  There is a large selection of drinks and check out Marlin's pie named, M.O.  Located on Central Avenue in Jersey City Heights is NOT to be missed.  Tell Marlin, Chef Rene Hewitt, sent you.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
13,p59nHC0aQEL0T5ZE7HxR9A,Richard J.,5.0 star rating,Paulie's Brickhouse is a great addition to Central Ave. in Jersey City. Great pizza and beer choices.,Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
14,5U7ehIocil6dgTqphRPzvA,Adalise M.,5.0 star rating,"This is a great bar. It is the only one on central ave and it is a very relaxing/chill spot. The waitresses, bartenders and ESPECIALLY the manager are very pleasant and attentive to the customers. The pizza is brick oven pizza and is excellent! The menu is expanding everyday and considering that they haven't had their official grand opening yet, i think they are doing a pretty good job and people need to cut them some slack. You know damn well when you go into a pizzeria they ALL share the condiments. It's NOT that serious. Let's see how much progress this bar makes after the grand opening. I'm sure it will be great!",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
15,IOsgBnvpvpFJvHx41WTbbw,Alex M.,4.0 star rating,"Visited tonight, Jan 26, my wife and I each had a burger which was $10 and fries which was $4.50.  It was good but I think $14.50 for a burger and a side of fries is a bit high.  Ketchup came in small containers which I cannot recall it ever being served that way to me. At other places, The waiter or waitress usually just brought out a bottle of ketchup for this kind of dish.  Very nice bar with relaxing atmosphere. Good place to have a brew and pizza.  We had a pie with pepperoni is pretty good too.  I did not think there was much of a difference between a brick and conventional pizza oven but there is. I  like the crunchiness of the crust from the brick oven.  Plenty of TVs to watch a game either at the bar or table.  Definitely will go back again.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
16,UEE72_KFWONrgVahW-F6bw,Regina R.,4.0 star rating,"First visit,  and will definitely be back!  Love the ambiance, music,  service,  and location. Had the heights pizza, it was delicious! Drinks are a great price and service was attentive. It was fairly empty when we came in but filled up, seems like a decent crowd for a Saturday night. Welcome to the neighborhood,  paulies! Glad to have you here.... we've been waiting for a local spot Like this for a while.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
17,m_J19ZftmRc0vFsmj9ti5g,Justin D.,3.0 star rating,"Came here for a quick bite. Ordered 2 pizzas off the menu. Waited for an hour, and the pizza still wasn't done.  I left because I needed to be somewhere and never even tasted the pizza",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
18,HRv0d2yr7Uxa06mPwoeINw,Kim C.,4.0 star rating,My husband & I stopped by for some beers and wings. Inexpensive and very warm friendly feel. We will gladly return. Definitely worth checking out.,Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
19,dugA_rKOfCPu4Wdj5Rtt7g,Ashleigh O.,4.0 star rating,"This isn't a place I'd go to for a night out but I'd consider watching a game here. I assume that's all they want and anticipate so their job has been done well.I hope they offer a vegan option on the food side other than french fries in the future. If you want to compete with other establishments in the area, you're going to have to. The good news is I really, really like my potatoes so I'm not complaining. They offer delicious ginger beer. It's the perfect mix of spicy and sweet. I'll have to come back for a cocktail.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
20,rX5w28xo6lGPHolxViIhPw,Kenya C.,5.0 star rating,"Wow. This was my first time here. The empanadas are $ 2.00 on Monday.  I tried both the beef and chicken and they were really good. Admittedly, the chicken was my favorite.  the customer service was on point. This will be one of my new favorite spots.There are tvs everywhere.   Next time here I will have to try the brick oven pizza. Honestly,  the venue would like great for a house music brunch party.   A cool comedy show would be lit as well.  This feels like your favorite neighborhood bar.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
21,WemWyAhh7BivXoYOkUKUiA,Avihay O.,5.0 star rating,"Such a great, refreshing place in  the heights.Service is always quick, friendly pizzas are delicious and it's open until late even on Sunday.Menu prices very reasonable, lots of good reasons to come back!",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
22,5T0ZlFzC3fkmi_VKSISHLw,Scott W.,4.0 star rating,"I've been to Paulie's like 3-4 times since my first review; here's what I'll say with my update:Pizza is still solid--wings are good, too. Service, same. The dark-haired, 20something female bartender is really nice and friendly. Manager is cool, too. Food comes out on time. Beers are good, prices are fine.Ambience lacks though. The music is uninspired Top 40s, the lighting is bad, and there's virtually no decor. The bright, clinical light coming from the pizza kitchen is a real eye sore. If you guys are reading this, look up some pictures of the restaurant Dee's in Queens. They have a brick oven and amazing, simple ambience.Hope y'all work out kinks. Still it's a place I will keep patronizing!",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
23,ZZELut-m0rSyivf8saCMKA,Mark S.,3.0 star rating,"The last couple of years, Jersey City has added a pretty good selection of newer eateries. Paulie's is probably the latest addition that has been sprinkled around town.Opening up about 2 months ago. I've visited a few times now. Once for drinks on a Friday evening & midweek for a dinner with the Mrs. Let's start with the good...9 large screen TV's are scattered around the bar area to catch your favorite sports team. Prices are very reasonable for both food & adult libations. Their pies are named after areas of JC. We ordered 2 pizzas, since they are a 12' variety. A downtown which had arugula, fresh mozzarella, prosciutto, parmigiana, drizzled with truffle oil & a fried egg. Also went with a Westside, a meat lovers pizza that had sausage, pepperoni & meatballs. Both were very good. Even came home with leftovers. :) Roughly 15 beers on draft, plus numerous other bottle options for $5. I stress this place is lite on the wallet.Now the not so good....Since it's so new, service can be a little spotty on the weekends. Hopefully they can work that out for the Friday to Sunday crowd that comes through here. Midweek doesn't seem to be that issue at all. We even made reservations on the app to avoid that little inconvenience after our first visit. And yes, save room for dessert.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
24,WGiy4RGk5AjZ7daP_P4TAQ,Dairon M.,4.0 star rating,"Came here on a Sunday afternoon to watch a basketball game. Opted for the Newport pizza and buffalo wings. The Newport was delicious, it included chicken, prosciutto, mushrooms, mozzarella and vodka sauce. I highly recommend this bar pie. The wings were also tasty accompanied by the usual blue cheese or ranch selection.The beer selection was vast and had many goodies to choose from. The one thing I believe they can upgrade is the hard liquor and add someJameson, Jack Daniels or Hennessy to the collection just to appease the community.You can tell this place is fairly new, wasn't too busy, but has the potential in a prime location. Only bummer is that parking can be tough at times. A much needed add to the community.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
25,AxI3WYgErmqcV6exnYei1w,Cindy C.,3.0 star rating,"This place just opened so I'm going to give them the benefit of the doubt with 3 stars. It's one of the only bars on Central so that's definitely a plus, and the drink prices are fair ($3 Bud Bottles and $6 wine). They are definitely taking the ""bar atmosphere"" concept seriously, blasting house music the entire time. The only food that they have is pizza and wings so we ordered 6 buffalo wings, a pepperoni bar pie and a margherita bar pie. The wings weren't bad, but they barely had any sauce on them. They didn't even really taste like buffalo wings. The pizza wasn't bad either but they didn't give us any condiments. When we asked for condiments a waitress brought us salt and pepper. We then specified that we meant pizza condiments and the girl grabbed them off of another table that was still eating. There were only about 8 people in the entire place, and later while we were eating the bartender took the condiments away from us while we still had pizza left, so it led us to believe they only have one set of condiments. It was hard to get the attention of the bartender and waitresses because they were on their phones a lot, but when you did finally get their attention they were very nice. They might just need to iron out some of these kinks because they do have potential.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
26,qwZ5l6qTzUm1Z9YaayWNYg,Ed A.,2.0 star rating,"Summary: lots of growing pains...lots to improve upon.Anytime a new place opens in the Heights, my bias and subconscious immediately wants to love it. When you think of restaurants and bars in JC, you invariably think of Downtown, and I think the Heights could use a few good places of its own.I visited this place twice over the past month or so - the 1st time just for drinks, and the 2nd time for dinner on a Friday night around 8pm. For starters - the music was blaring, making it difficult to have a simple conversation. I asked someone if they could turn it down, and they said they would ask, but nothing happened.I ordered food around 750pm. Nothing extravagant; since their menu is very simple (which I like - in theory it makes preparation quicker), I went for 2 personal pizzas and an order of fried calamari. It took literally 50 minutes (I timed it) for the food to come out - both pizzas and the calamari came out together. That's simply unacceptable. Someone (manager? owner?) came out to apologize for the wait, stating they were short staffed that night.The calamari was crispy, but totally lacking in flavor. The veggie pizza was passable. The best of the 3 items was my margherita pizza. However, I could have gone next door to ole reliable Pizzamasters and gotten the same things much more quickly (and more deliciously). I gave them a 2 star rating only on account of growing pains / missing cooks that evening / my bias for Heights establishments. But I don't see how you can set up shop a stone's throw away from the best pizzeria in Jersey City and hope to compete with such a subpar offering.PS to the management - in Hoboken recently, a bartender accidentally charged me for someone else's tab. He apologized immediately and bought a round of drinks for me and my buddy for the inconvenience. That is how you handle inconveniences for customers: a free dessert, a free drink - anything other than ""oh sorry, we're really busy"".",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
27,dl4ENy4Bk6-lCu59A8vxbg,Bloss C.,4.0 star rating,"I have been waiting for a casual restaurant with a bar to open on Central Ave for years, so I was excited when Paulie's recently opened.  After stopping by on a Friday night and not even being able to get in the front door I have kept my subsequent visits to mid-week nights and have not found the restaurant to be very crowded.  A smaller mid-week crowd lends itself to great service, which I have had on all of my visits.  The menu is mostly pizza based with some other appetizers also.  I always order the Downtown pizza and really like it; I order it without the prosciutto or with half prosciutto if my fella and I are sharing.  One of these days I'll try another pizza.  The only thing Paulie's lacks is that I really would like to see is a salad or two on the menu.  I know it is a pizza restaurant and not a health food restaurant, but it would be nice to have a less caloric option on the menu for those nights I want to go out with my fella and eat light.  Also it would be nice to have the wine options printed on the beverage menu in more detail than just listing the  varietal.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
28,t2RN0X5NuJ70qtYU7vu69w,Jenna B.,5.0 star rating,"Really great spot. I stopped in for a Pizza, the Margherita - it's called, The Heights on the menu. Wood Oven pizza is some of the best. Their sauce had great flavor too, which is important. The pie was cut in to 6 slices, I ate 2 and brought home the other 4 to my Boyfriend who gobbled it up. He loved it. If I had been super hungry, I could have easily downed the whole thing on my own. I do wish they had a few more topping options, or a build your own type of thing. My dream pizza is Pepperoni, Mushrooms and Jalapeńos. I know they are still adding things to the menu and I look forward to more to come. As for drinks, they've got the neighborhood beat for prices! $3/$4 shots, $7 for top shelf shots. That's unheard of! You're lucky to pay $7.00 for well shots in most places. $3-$6 Bottles & Drafts. $8-$10 Cocktails. I love that they are being so fair in prices, it's the kind of place you'll be happy to sit for a while. For less than $30 I got a pie that fed two, a mixed drink, a beer & a shot. I wanted to do a happy dance when I got my bill. The staff is lovely, friendly, genuinely caring and they made me feel so welcomed. When I walked in the door I was greeted with a warm and cheery, Hello - I think she was an owner or a Manager? I usually sit at the bar in places like this and the kid behind the bar was great - he stayed on top of my needs while he was busy doing several other things. That's how I like it. I've been in to other bars in the area and the service wasn't nearly as attentive. I joked and told my Boyfriend that I'm going to turn this place in to my Cheers!",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
29,GydRg9XeEhsI_yHSF5MCSw,Alyssa E.,4.0 star rating,"Went for dinner and drinks last night. Bar was full for the NFL playoffs, but there were plenty of spots to sit in the dining area. Definitely a sports bar with lots of TVs, but it was a good atmosphere and not overwhelming. Cool industrial vibe with the decor.Our server was fantastic. Very friendly and attentive but not overly so.Good selection of standard beers on tap (Blue Moon, Fat Tire, Sam Adams, etc.), all for about $6. Also reasonably priced cocktails and shots--will have to try next time.Wings and fries are available (BBQ wings juicy and big--$7 for 6 plus $1 per additional wing) but pizza is main attraction (obviously). We got the Downtown, which was delicious. My only minor quibble is that I would have loved a bit more prosciutto! Food came out fast and the pizza was enough for two.Looking forward to going back and trying the other pizzas. Welcome to the neighborhood!",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
30,fZtSnMecdr8_kuQLhx22xQ,Sneaky B.,1.0 star rating,"WARNING!!! DO NOT think about ORDERING TAKEOUT from Paulie's Brickhouse. For a new restaurant, you'd think they'd want to retain and gain new customers, not turn them away! First off, it took 2 different employees and 10 full minutes for them to take my order over the phone (a Chicken Parm sandwich and Pizza). When I returned home with my order, I sadly realized the sandwich was NOT what I ordered. I clearly stated over the phone that I wanted a Chicken Parm sandwich and what I got was a COLD chicken sandwich with wilted brown lettuce, stringy onions, 2 dots of mayo and floppy-ass bread.  I called and explained the situation and they graciously said they would honor a make-good and make me what I actually ordered. However, five minutes later as I was walking back in the rain to pick up the right order (they wouldn't deliver it), the girl who took my order had the NERVE to call back and proceeded to argue with me over what I ordered. They demanded that I pay full price if I wanted the correct sandwich - another fifteen bucks. I refused. So I am left with no dinner and 15 dollars out of my pocket. Seriously DISGUSTED at this thievery.  The pizza ain't bad but two doors down you can go to Pizza Masters for better food and service.  They were unprofessional, rude and unaccommodating. Customer service was a complete afterthought. You can get better service and hospitality at the McDonalds next door. Please train your staff to treat your customers with respect and keep them coming back. There's a reason why there was only one lonely man sitting at the bar!!!  NOTE:  My initial reaction of walking into the bar was COOL, this is a place I can see myself coming to regularly.  Unfortunately, instead of spreading the good pizza word I will neg this place any chance I get.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
31,iGZ4KHfjLncVMxqGyfW9_g,Susan N.,2.0 star rating,"wow the worst brick oven pizza I ever had... first time I didn't eat pizza leftovers at home. At $14 per personal pie, that was doughy garbage with cheap ingredients... also, if you're going to be unique and offer peas on the pizza - DO NOT use frozen peas - are you kidding ??    And it doesn't smell good like a pizza place, it smells like Home Depot. Waitstaff seems disoriented and disorganized. Feels like a dive bar that serves bar pies. Was not a good new brick oven pizza restaurant as expected/advertised.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
32,LyF0Rnz8slJrqS0957q-aA,Chef Rene H.,5.0 star rating,"I stopped by to say hello to Marlin, who I know for years.  I watch them build this place from the ground up, and now it's is blooming like fresh flowers in the Spring.  GREAT atmosphere, clean, and you can stand in the back and watch your individual pizza being made.  This is not primarily a pizza parlor, but a great neighborhood bar and lounge where you can feel at home.  The best pizza in Jersey City.  There is a large selection of drinks and check out Marlin's pie named, M.O.  Located on Central Avenue in Jersey City Heights is NOT to be missed.  Tell Marlin, Chef Rene Hewitt, sent you.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
33,p59nHC0aQEL0T5ZE7HxR9A,Richard J.,5.0 star rating,Paulie's Brickhouse is a great addition to Central Ave. in Jersey City. Great pizza and beer choices.,Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
34,5U7ehIocil6dgTqphRPzvA,Adalise M.,5.0 star rating,"This is a great bar. It is the only one on central ave and it is a very relaxing/chill spot. The waitresses, bartenders and ESPECIALLY the manager are very pleasant and attentive to the customers. The pizza is brick oven pizza and is excellent! The menu is expanding everyday and considering that they haven't had their official grand opening yet, i think they are doing a pretty good job and people need to cut them some slack. You know damn well when you go into a pizzeria they ALL share the condiments. It's NOT that serious. Let's see how much progress this bar makes after the grand opening. I'm sure it will be great!",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
35,IOsgBnvpvpFJvHx41WTbbw,Alex M.,4.0 star rating,"Visited tonight, Jan 26, my wife and I each had a burger which was $10 and fries which was $4.50.  It was good but I think $14.50 for a burger and a side of fries is a bit high.  Ketchup came in small containers which I cannot recall it ever being served that way to me. At other places, The waiter or waitress usually just brought out a bottle of ketchup for this kind of dish.  Very nice bar with relaxing atmosphere. Good place to have a brew and pizza.  We had a pie with pepperoni is pretty good too.  I did not think there was much of a difference between a brick and conventional pizza oven but there is. I  like the crunchiness of the crust from the brick oven.  Plenty of TVs to watch a game either at the bar or table.  Definitely will go back again.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
36,UEE72_KFWONrgVahW-F6bw,Regina R.,4.0 star rating,"First visit,  and will definitely be back!  Love the ambiance, music,  service,  and location. Had the heights pizza, it was delicious! Drinks are a great price and service was attentive. It was fairly empty when we came in but filled up, seems like a decent crowd for a Saturday night. Welcome to the neighborhood,  paulies! Glad to have you here.... we've been waiting for a local spot Like this for a while.",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
37,m_J19ZftmRc0vFsmj9ti5g,Justin D.,3.0 star rating,"Came here for a quick bite. Ordered 2 pizzas off the menu. Waited for an hour, and the pizza still wasn't done.  I left because I needed to be somewhere and never even tasted the pizza",Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
38,HRv0d2yr7Uxa06mPwoeINw,Kim C.,4.0 star rating,My husband & I stopped by for some beers and wings. Inexpensive and very warm friendly feel. We will gladly return. Definitely worth checking out.,Paulie’s Brickhouse,4.0 star rating,$$,"Beer, Bar,, Pizza"
