,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
19,fodOgtRg9Tt1EKhaC13Glw,J M.,2.0 star rating,"I really really want to like this place. The staff seem very nice. I ate here once in the restaurant and once through delivery. The first time I got the pad Thai early bird dinner special. The pad Thai did not taste authentic (I think they use vinegar in place of tamarind) but it was sort of tasty. I'd say three stars. I just ordered delivery tonight though and unfortunately the pad Thai this time was so bad and overloaded with sugar that I just threw the entire thing in the trash. I have /never/ done that with Thai. I have a very high tolerance for meh when it comes to my pad thai. Unfortunately, it was that bad. I hope they can improve the food. Hoboken needs a good Thai place and the staff are nice here.",T Thai,3.5 star rating,$$,Thai
20,Gnj3X_Zs99KS0AIVeYQVGA,Jerry L.,5.0 star rating,"This is my favorite Thai restaurant in town, I love their staff, service and quality of their food. The restaurant is very clean and intimate.I'm a big fan of their Thai Iced T ($3) and I always order the vegetarian duck with spicy noodle $12 and the cheese puff appetizer which costs around  $5.00 for two pieces of flaky on the inside but creamy surprise on the inside of hot melted cheese.  They accept credit card/cash and they do deliveries and are quite fast. Minimum order of $10.00 is required for deliveryThey have outdoor seating when the weather is nice and it's also BYOB.  It's a great ambiance, really no frills but worth checking out their food. If you're lucky they have this blue crab fried rice which is one of their specials which is delicious and you can tell them how spicy you want on their dishes.I don't think they use MSG since I don't get tired after a hearty meal. Enjoy!",T Thai,3.5 star rating,$$,Thai
21,ZPCiIJZYjNHzlvOrMAVqbA,Hailey K.,1.0 star rating,Is it impossible to find a decent Thai restaurant in Jersey City/Hoboken?! Decided to order delivery tonight at T Thai. Much to my surprised when I opened the containers the Tofu with basil sauce was just 4 huge chunks of cold tofu in the dish!!! The chicken pad thai barely any chicken in it and the chicken wings were over fried and dry. Ugh I can deal with subpar pad thai and over cooked wings but the COLD chunks of soft tofu in the dish was so disgusting. Recommend staying Far Far away from this thai restaurant!,T Thai,3.5 star rating,$$,Thai
22,rtCK7o_Zt-62mhVlfeFOjg,Sama A.,4.0 star rating,Ordered delivery from this restaurant. Tom yum soup and pad kee mao. It was spicy as asked for and was delivered in time.,T Thai,3.5 star rating,$$,Thai
23,T9xLOjbWITOK0DiEdCOyTw,Laura E.,5.0 star rating,"Best chicken pad thai I've ever had! I prefer pad thai that's more on the sour-sweet side, and this does the job perfectly. It's conveniently located a few blocks away from the Hoboken PATH station. If you get the pad thai as their lunch special, which is $8 before 4:00, it also comes with an appetizer of salad and spring roll, which are lackluster compared to the main dish. The noodles of the pad thai are slightly al dente but still chewy, and they mix the bean sprout, green onion, carrot and peanuts with the noodles. The portion is really large, and can be split into two meals. They take card, and split it amongst our party of 4. I always come back whenever I'm feeling down and need to indulge a plate of heavy noodles.",T Thai,3.5 star rating,$$,Thai
24,FLZoVhnsibhtB-m04AA7Ug,Brian C.,4.0 star rating,"Ordered from here after it showed up on Seamless for us in JC.  I agree with others who say that there aren't any real standout Thai restaurants in the area, but T. Thai is pretty good overall.  I did think that their Green Curry was genuinely very good - I asked for extra spicy and it came with decent heat.  The Pad See Ew was very good as well - more vegetables than other places - and the noodles were soft and chewy.  The Pad Thai was disappointing - it tastes sweet and seemed like a dish catering to a more Western pallet.  The appetizers (dumplings and squid) were decent although not spectacular.  Overall, it was a worthwhile meal and I plan on ordering from them again - their curries and non-Pad Thai noodle dishes were very good.  I would other give a 3/5 stars if I could, but am rounding to 4 for this review.",T Thai,3.5 star rating,$$,Thai
25,2Ms9FpoHZ_tukzCzE23ogQ,Alina V.,4.0 star rating,"Cute little Thai place in Hoboken, they have outdoor seating (where we sat) and the staff is very friendly and attentive. The place is also byob and they provide an ice bucket if you need one. We got there around 615 and made it in time for the early bird specials which run 4pm to 7pm. For $15 (or $16 depending on the protein you get in your entree) you get a soup (tom yum or coconut), a small side salad with peanut sauce, an appetizer (fried calamari, Thai dumplings with chicken and shrimp, spring rolls, or shrimp rolls) and then you pick an entree with the protein you want (veggie, tofu, chicken, shrimp, squid, beef). We got 2 or the specials, so we tried both soups and for the entree we got the chicken pad Thai and the basil sauce with veggies and squid which comes with white rice. Some things were too spicy for me but everything tasted great! The restaurant is quite, since its not on Washington street, and I'm definitely looking forward to coming back again soon!",T Thai,3.5 star rating,$$,Thai
26,UP_AlH5SRvdDSKasoLW7yA,Arrisa M.,5.0 star rating,This is definitely my favorite Thai restaurant. The service is always fast and the food is always fresh. I would highly recommend this restaurant. The duck pad thai is my favorite thing here. If you come in before 4 there's a great lunch special that's only $8.,T Thai,3.5 star rating,$$,Thai
27,ReHXedaQtinWEKm1StjXGg,Alan B.,3.0 star rating,"Came in on a weekday for lunch, the place had a nice ambiance and wooden tables. Their lunch special was $8 dollars for an entree, spring roll, and salad. The salad was pre-made and brought out pretty fast, globbed with peanut dressing and a few tomatoes over lettuce, I wasn't impressed. The spring roll tasted like it was sitting at the bottom of one of those plastic chinese-delivery containers for a while. For my entree I took the peanut curry with shrimp. I asked how spicy it was and I was told medium (it ended up being mild actually imo), but it would have been nice if they offered to cater it to my liking. The peanut curry itself wasn't bad, all though I only got around 4 pieces of shrimp (with the tails intact, and no knife, they did bring one though after I asked). I suppose I got what I paid for here, an OK fast thai lunch with no frills. If I was back in Hoboken I would likely try another establishment first before returning.",T Thai,3.5 star rating,$$,Thai
28,Ge9E2lEsBvhPuO-UP2ATWA,Danielle C.,5.0 star rating,"This no frills restaurant is my one of my favorite Thai spots in Hoboken.The service is great!  As soon as we walked in the waitress greeted and seated us. Even throughout the meal the waitress was very attentive.We had the lunch special, for $8 you get a spring roll, salad and an entree. A lot of food for only $8!!The entree came out really fast, we were only half way through our salad lol. I ordered the Chicken Thai Basil, which was seasoned really well. The Basil sauce wasn't to spicy and it included lots of veggies (always need veggies with every meal). My husband's pad thai with beef was also really good. The glass noodles were flavorful and the dish wasn't dry at all. I had some unpleasent experiences where the the pad thai was super dry and crispy. Pad thai should never be crispy!I highly recommend T Thai for a cheap Thai meal.",T Thai,3.5 star rating,$$,Thai
29,60xT8IJErBIOe1q8dGfIJw,Christina D.,4.0 star rating,"Solid thai food.  Nothing fancy.  There's really no incredible Thai food in this area so this is the best you are going to get.Got their pad thai lunch special and the noodles were fine, seasoned like most pad thai.  The spring roll that came with it was barely edible, but it could be a personal preference as I am generally not a fan of spring rolls.Got a thai iced tea and that tasted just like every other I've had.  All in all, I will be back as this is your best bet for Thai.",T Thai,3.5 star rating,$$,Thai
30,oBwMiecY21_u39y9DSZTQg,Jay W.,1.0 star rating,"As many times as I enjoyed coming here, it only takes one bad experience to sour me on a restaurant, and that's the case today.  My wife and I went to T Thai for lunch today, knowing that their lunch special ended at 4pm (we've been coming for 2 yrs).  We arrived at 3:55pm sat down and, knowing what we wanted sat ready as the waitress folded napkins a few tables away from us.  She came back to our table a few minutes later, and as we started ordering our lunch said ""I'm sorry lunch ends at 4pm"".  I said ""I know, that's why we rushed here and got here before 4.""  She said ""yes you arrived at 3:55, I looked at my watch, and had you ordered then you'd be fine"". I kid you not!I retorted ""wait, if I ordered as I was walking to the table, I'd be fine, but after waiting while you folded napkins forget it?""  She said ""sorry""I implored her not to do this, she'd be losing good long time customers, but she stood motionless.  If a place wants to play a game of technicalities with me, they lose me.  Make up your own mind if you want to go there.",T Thai,3.5 star rating,$$,Thai
31,SiTc65hq5dbv1DZPf9XLgA,Sonal B.,5.0 star rating,"Green Thai curry was very very good. The tofu luscious and soft and the curry just perfectly spicy but not overly so. I went for lunch and the portion for the price is quite good too. The outdoor seating is lovely in the summer.This place stays a reliable lunch option and regardless of what I order (even the spicy noodles are fantastic), food stays great!!",T Thai,3.5 star rating,$$,Thai
32,8jIf19H-3aiL869qFaP6bg,Dan J.,1.0 star rating,"Food was ok, delivery took two hours. Won't be ordering again. The delivery driver was rude too.",T Thai,3.5 star rating,$$,Thai
33,Zb4c8sWdwFPf0r9YuKQQsw,Shanen L.,3.0 star rating,"Walked in here for dinner around 7-8pm on a Saturday night and there were plenty of tables open. The space is small, but from what I could see it didn't tend to fill up too often. We were immediately seated and were asked for drink and app orders shortly after. They also brought out a bottle opener and offered glasses for our BYOB drinks. I ordered a tom yum soup (Thai hot) for my app, while others at the table got the grilled squid and a fried roll. My soup came out nice and spicy, just the way I like it. If you like it this way (and not watered down) make sure to ask for it Thai hot. I didn't try the fried roll, but my friend finished it so I assume it was fine. The grilled squid, however, was completely rubbery and pretty inedible. My friend tried one piece and I tried another to confirm it was terrible. So this remained untouched after this. A server later asked us if she should pack this to go and we told her no, to which she relied, ""No good?"" and received an honest answer about it being chewy beyond eating. For entrees one of my friends ordered Penang curry, which is tasty and good for people who don't want much spice. My other friend and I each ordered the green curry with chicken. I forgot to order it Thai hot- and wish that I had. I found this to be a very mild and underwhelming dish, despite being edible enough. My friend, however, thought it was too spicy for her taste (we both had the same spice level, which is the regular as it comes). So if you are a fan of spicy Asian cuisines, order Thai hot, and if you can't handle Asian spice maybe order it mild. Service wasn't exactly friendly, nor was it unfriendly- despite maybe an eye roll when friend was deciding on order choice. Just kind of quick and to the point in general. I probably wouldn't come back here, but if you're in the area and need a quick Thai to-go or delivery, you're probably pretty safe on ordering a curry dish- just specify your desired level of spice.",T Thai,3.5 star rating,$$,Thai
34,E9udhiq3OupWHmKsvP4h1Q,Yan T.,4.0 star rating,"Nice Thai food place in Hoboken. We ended up walking in because it was close to the oarking lot where we left our rental and we were ravenously hungry. It turned out to be chill and low key, the type of place that's been in the neighborhood awhile and has a realiable following for dining in and carry-out.Lunch specials were very reasonably priced and portioned. We started with some chicken wings with chili (good), grilled squid with chili sauce and ground peanut (not bad but too tender for my taste...Iike squid chewy), and I had the spicy thick noodles with shrimp, which were good.There were also some interesting chef's specials if you're willing to spend a few extra bucks. Overall, a nice neighborhood Thai joint for the residents.",T Thai,3.5 star rating,$$,Thai
35,Lxv9aGGhPpDMd82cOFANoQ,Suchi P.,5.0 star rating,"Ordered curry puffs, red curry and veg fried roll. Food was delicious. Service was prompt and the place isn't expensive at all! I'll return when I'm in the area again!",T Thai,3.5 star rating,$$,Thai
36,wUHcZ-fPAcP41r8uDAIE3w,Shaun D.,5.0 star rating,"So happy I stumbled upon this place. I eat here at least once a week. Good food, affordable prices and great service. My favs here are the fried calamari and the shrimp or vegetable fried rice. The coconut water is a banger too.",T Thai,3.5 star rating,$$,Thai
37,A0jpyAlnH7wkWvya6KyDxQ,Tora L.,5.0 star rating,Dragged my mom to Hoboken for good eats and came across this gem because of lack of parking. What a perfect nightmare! The food was amazing. We started with the hot &a sour lemon grass shrimp soup.. perfection! We also had the grilled shrimp w chili sauce.. amazing! fried rice entrees were great as well. I'll be back again and again if parking allows for it.,T Thai,3.5 star rating,$$,Thai
38,cqo3f4YsgErxS58O8C0VGg,Sue D.,4.0 star rating,"We eat here regularly. The duck curry is nice, though the duck is sometimes skinny and skimpy. The Pad See Yew with beef was excellent today. Chicken wings we tasty but have a lot of breading and took more ham 30 minutes to come. Not many Thai restaurants in Hoboken and this is our go-to.",T Thai,3.5 star rating,$$,Thai
39,fodOgtRg9Tt1EKhaC13Glw,J M.,2.0 star rating,"I really really want to like this place. The staff seem very nice. I ate here once in the restaurant and once through delivery. The first time I got the pad Thai early bird dinner special. The pad Thai did not taste authentic (I think they use vinegar in place of tamarind) but it was sort of tasty. I'd say three stars. I just ordered delivery tonight though and unfortunately the pad Thai this time was so bad and overloaded with sugar that I just threw the entire thing in the trash. I have /never/ done that with Thai. I have a very high tolerance for meh when it comes to my pad thai. Unfortunately, it was that bad. I hope they can improve the food. Hoboken needs a good Thai place and the staff are nice here.",T Thai,3.5 star rating,$$,Thai
40,k6vG6D_q8576ZZ1nZpG0Sw,Gui Bin Z.,4.0 star rating,"Located near the water, this is a great place to stop by on your date.I stop by at least once a month (which is a lot for me) and the staff are always nice. Sometimes the service is a little slow because they seem to do more take out than sit in. My go to orders are the beef pad Thai and chicken with ginger sauce. It's always fresh and has the right spices. Their pad Thai is a little on the sweeter side, I wish it had more tang naturally but I just squeeze extra lime on it.Be careful of their Thai ice tea, it's seriously addicting.",T Thai,3.5 star rating,$$,Thai
41,Nv1Ikk-VfiHb5sRq_IGPKw,Moustafa E.,1.0 star rating,"Food was cold when delivered about an hour and half after order. The chicken pad Thai was bland so I used half a bottle of cholula sauce to help with the taste, the beef flat noodles tasted like it was cooked in sewage water. I hope I don't have food poisoning. I wouldn't recommend this place to my friends or enemies.",T Thai,3.5 star rating,$$,Thai
42,DvOVei_FUicKnOYBZVHgDA,Molly K.,5.0 star rating,Great options and good value for the price! Servers are fast and friendly. I think it is BYOB- which I like! I prefer it during lunch but dinner is great too! Overall good experience,T Thai,3.5 star rating,$$,Thai
43,AybiKk7PtMV48cUUDqS-WQ,Kevin S.,1.0 star rating,"Sadly, I was once again fooled by the reviews for restaurants in Hoboken.  I keep forgetting now the new people that live here are from ELSEWHERE and have no clue about good food vs NOT!   This place gets rated as the best Thai.  I ordered.  Its not even Thai food.  I dont know where the cooks are from but they clearly are not Thai and have never had Thai food.  I ordered simple Pad Thai.   What they sent are noodles but they are not Thai looking or tasting.  I guess there arent any good Thai places to eat in Hoboken.   Stick with a burger from The Stewed Cow!",T Thai,3.5 star rating,$$,Thai
44,hHF77fbom_JSruLt-fzFjw,Anthony B.,4.0 star rating,"Had Lunch today at this Thai spot and was very impressed. It was a nice change up for lunch and was very good. They have an awesome Lunch Menu that is a great deal compared to other lunch spots in Hoboken. I got the Shrimp Spicy Rice which was $8.60 with tax, you also get a house salad and a spring roll with the lunch menu. All were very delicious and you get a nice sized plate of food. The food came out quick and the service was great. My only complaint was having only 4-5 Shrimp in the rice, which is usually the case with Shrimp dishes. Restaurants tend to go on the lighter side but would have liked a few more Shrimp in there. Definitely worth checking out, you won't regret it.",T Thai,3.5 star rating,$$,Thai
45,lbqR1UY1pHt72Kre0Nm3Fg,Gayle B.,5.0 star rating,Love the food here! And the service is friendly and efficient. Well priced for what you get. Can't get enough of their Tom Kha,T Thai,3.5 star rating,$$,Thai
46,BbmEYJpTJEagLlSPAWDLaQ,Betty R.,3.0 star rating,"Not sure why sautéed veggies should take over an hour to be delivered but every time I've ordered the wait has been borderline ridiculous. My husband and I both ordered at the same time tonight, he did Pure Pita and within 25 minutes his order was here...I'm still waiting for mine over an hour now and counting. Hoboken needs more Thai options! Or T Thai needs to get their delivery act together.",T Thai,3.5 star rating,$$,Thai
47,iPHZWOwcMtpSakilbfrVbA,Mr. J.,5.0 star rating,"I stumbled upon this place en route to the city. A lunch special, the food and service was excellent. This is not a ""luxurious"" venue but in Thai fashion, it is a simple Thai restaurant. The food was so good I ordered delivery the next evening and everything was perfect!!! Best Thai in Hoboken in my mind !",T Thai,3.5 star rating,$$,Thai
48,fbhRFckDkMOCZFSxpOM4xA,Kimberly M.,3.0 star rating,"In Hoboken I weigh good delivery by two factors: They didn't F up my order, and it got to my house within an hour.  I just CAN'T with these places located blocks from my apartment who say up to 90 minutes for delivery time.  I can fly to Mars in 90 minutes but my Napoli's pizza is still in the oven.  The Pad Thai is decent and I enjoy the soup, even though when you ask for shrimp they throw you an entire shrimp with the tail in the soup.  Thanks Hoboken.",T Thai,3.5 star rating,$$,Thai
49,LHUVvnc4fjYUUm_SrPa6Ow,Denise M.,4.0 star rating,"Got the Early Bird Special that comes with a salad with peanut dressing, a choice of soup - tomyum or coconut, choice of an app, and entree - choice of meat with noodles, fried rice or pad Thai all for 15 bucks. I chose the coconut soup (with veggies instead of chicken) made with coconut milk and what tasted like fish sauce that provided a subtle salty enhancement to the normally bland tasting coconut milk. It was a nice balance that made it surprisingly tasty. Then, I had the chicken satay app, your regular standard satay. And for the entree, beef with Thai rice mixed with scallions, onions, and tomatoes. Although you get way more rice than protein, still a pretty good deal for the amount of food you get, which is just enough.",T Thai,3.5 star rating,$$,Thai
50,HvvffNJZwKRcX1sugj-hpQ,Maria A.,3.0 star rating,"Good food. Essentially my go-to for Thai takeout. The only downside is that they forget my order 50% of the time and after an hour of waiting, I have to call to check on it. Then they say it's out for delivery, but it shows up piping hot 30 minutes later, signaling that they most likely prepared it while I was on the phone checking the status and proceeded to lie. Also, warning to those with allergies, if you are ordering via Seamless, the ""special instructions"" text will be vehemently ignored.",T Thai,3.5 star rating,$$,Thai
51,n820iagT3Y6TrbCEU6_BUg,Vineet S.,1.0 star rating,"*AVOID THIS PLACE AT ALL COSTS*Bumping down this place to 1 star, I wish there was a negative star option at Yelp!!We have been coming to T Thai for quite some time now but won't be coming back here in future after what happened with us recently here.Came here the other weekend with some close family friends during dinner hour.Place was almost empty. It took some time for the staff to realize that we came in so it took few minutes for get us seated which is fine.After we got seated for a good 15 mins nobody came to our table to ask if we needed water or we are ready to order.I went to the cash counter to call them to take our order and both staff members were busy with their phones.Eventually after placing our food arrived quickly. They expected us to use small appetizer plates for dinner as we were sharing , we requested bigger plates.One of my friends had started using the small appetizer plate for dinner , they came with bigger plates & literally took the small plate out of my friend while she was eating food.This is one most uncourteous and rude behavior I have seen in a restaurant. When we mentioned to our server she should not be doing this she instead of apologizing got mad.During the rest of the dinner time nobody came to us to ask if needed anything else or to refill water glasses.On top of this they had the audacity to put compulsory 20% gratuity.Overall a really bad experience,",T Thai,3.5 star rating,$$,Thai
52,lF1DwrvKmKOdK4TMmXISXg,Markus S.,5.0 star rating,straight fireeeeeeeeeeeeeeeeee meal I just had. The rice noodle and broccoli had not only delicious texture but was a full on party in my mouth,T Thai,3.5 star rating,$$,Thai
